AREA,ID,LAYER,RMTYPE,SUBTYPE,WEIGHT,ALTERATIONS,CRACKS,POTLIDS,REDDENING,GLOSS,WHITEPATINA,PATINA,OTHER,CORTEX,CORTEXTHICKNESS,CORTEXAPPEARANCE,INCLUSIONS,INCLUSIONTYPE
SHELTER,VB07-1326,,TYPE 11,TYPE 11A,1,Yes,No,No,No,No,Yes,No,No,Yes,Thin,Rounded,Yes,FeOx; ND
SHELTER,VB07-899,,TYPE 11,TYPE 11A,0.7,No,,,,,,,,No,,,No,
SHELTER,VB06-1392,,TYPE 11,TYPE 11A,1.1,Yes,No,No,No,No,Yes,No,Yes,No,,,Yes,FeOx; ND
SHELTER,VB06-183,,TYPE 11F,TYPE 11F,0.4,No,,,,,,,,No,,,Yes,ND
SHELTER,VB07-1406,,TYPE 11,TYPE 11A,7.4,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Medium,Rounded,Yes,FeOx; Spi; ND
SHELTER,VB07-599,,TYPE 11,TYPE 11A,2.3,Yes,No,No,No,No,Yes,No,No,Yes,Thin,Rounded,No,
SHELTER,VB09-572,,TYPE 11,TYPE 11A,0.4,No,,,,,,,,Yes,Thin,Rounded,Yes,Org
SHELTER,VB08-4732,,TYPE 11,RMU_W01,2.4,Yes,No,No,No,No,No,No,Yes,Yes,Thin,Rounded,Yes,ND
SHELTER,VB07-511,,INDET,ND_A,0.6,Yes,No,No,No,Yes,Yes,Yes,No,No,,,Yes,ND
SHELTER,VB07-1638,,TYPE 11,TYPE 11A,1.1,Yes,No,No,No,No,Yes,No,No,No,,,Yes,ND
SHELTER,VB07-525,,INDET,ND_A,8.1,Yes,No,No,No,No,Yes,Yes,No,No,,,Yes,ND
SHELTER,VB06-791,,INDET,ND_A,3.3,Yes,No,No,No,No,Yes,No,Yes,Yes,Thin,Other,Yes,FeOx; Org; ND
SHELTER,VB06-626,,INDET,ND_A,0.6,Yes,,,,,Yes,,,No,,,Yes,FeOx; Org; ND
SHELTER,VB05-1387,,INDET,ND_A,0.1,Yes,,,,,Yes,,,No,,,Yes,FeOx
SHELTER,VB09-304,,INDET,ND_A,0.8,Yes,,,,,Yes,,,No,,,Yes,FeOx
SHELTER,VB06-2118,,INDET,ND_A,0.1,Yes,,,,,Yes,,,No,,,Yes,FeOx
SHELTER,VB07-412,,INDET,ND_A,1.4,Yes,,,,,Yes,,,No,,,Yes,FeOx; ND
SHELTER,VB09-448,,INDET,ND_A,0.6,Yes,,,,,Yes,,,No,,,Yes,FeOx
SHELTER,VB06-2137,,INDET,ND_A,0.7,Yes,,,,,Yes,,,No,,,No,
SHELTER,VB05-1572,,INDET,ND_A,0.9,Yes,,,,,Yes,,,No,,,No,
SHELTER,VB07-643,,INDET,ND_A,0.4,Yes,,,,,Yes,,,No,,,Yes,FeOx
SHELTER,VB07-210,,INDET,ND_A,0.5,Yes,,,,,Yes,,,No,,,Yes,FeOx
SHELTER,VB07-1354,,INDET,ND_A,2,Yes,No,No,No,No,Yes,Yes,Yes,No,,,No,
SHELTER,VB05-1291,,INDET,ND_A,1,Yes,No,No,No,No,Yes,Yes,No,Yes,Thin,Rounded,No,
SHELTER,VB08-1465,,INDET,ND_A,0.8,Yes,No,No,No,No,Yes,No,Yes,No,,,No,
SHELTER,VB07-527,,INDET,ND_A,3.1,Yes,No,No,Yes,No,Yes,Yes,No,No,,,No,
SHELTER,VB07-1243,,INDET,ND_A,0.1,Yes,,,,,Yes,,,No,,,Yes,Org
SHELTER,VB07-1326,,INDET,ND_A,0.1,Yes,,,,,Yes,,,Yes,Thin,Rounded,Yes,ND
SHELTER,VB05-590,,TYPE 11,RMU_W01,1.1,No,,,,,,,,Yes,Thin,Rounded,No,
SHELTER,VB08-5174,,TYPE 11,TYPE 11A,3.4,Yes,No,No,No,No,No,Yes,No,No,,,Yes,FeOx; Spi; ND
SHELTER,VB08-4309,,TYPE 11,TYPE 11A,2.7,Yes,No,No,No,No,Yes,No,No,No,,,No,
SHELTER,VB06-830,,INDET,ND_A,0.4,No,,,,,,,,No,,,Yes,FeOx
SHELTER,VB06-1552,,TYPE 11,TYPE 11A,4,Yes,No,No,No,No,Yes,Yes,No,Yes,Thin,Rounded,No,
SHELTER,VB05-3030,,INDET,ND_A,0.9,Yes,No,No,No,No,Yes,No,Yes,No,,,Yes,Org; ND
SHELTER,VB08-4866,,TYPE 11,TYPE 11A,1.8,Yes,No,No,No,No,Yes,No,No,Yes,Thin,Rounded,No,
SHELTER,VB05-2961,,TYPE 11,RMU_W01,0.6,No,,,,,,,,Yes,Thin,Rounded,Yes,FeOx; ND
SHELTER,VB05-2506,,TYPE 11,RMU_W01,1.3,No,,,,,,,,Yes,Thin,Rounded,No,
SHELTER,VB07-1206,,INDET,ND_A,2.9,Yes,No,No,No,No,Yes,Yes,No,Yes,Thin,Rounded,No,
SHELTER,VB07-1389,,TYPE 11,TYPE 11A,2.1,Yes,No,No,No,No,Yes,No,No,Yes,Thin,Rounded,Yes,FeOx
SHELTER,VB07-833,,TYPE 11,RMU_W01,3.2,No,,,,,,,,Yes,Thin,Rounded,Yes,FeOx
SHELTER,VB08-3826,,INDET,ND_A,1.4,No,,,,,,,,Yes,Thin,Rounded,Yes,FeOx; Org; ND
SHELTER,VB06-1869,,TYPE 11,TYPE 11A,3.4,Yes,No,No,No,No,Yes,No,Yes,Yes,Thin,Rounded,No,
SHELTER,VB09-1413,,INDET,ND_A,0.5,Yes,No,No,No,No,Yes,Yes,Yes,No,,,No,
SHELTER,VB07-654,,INDET,ND_A,0.1,Yes,No,Yes,Yes,No,No,No,No,No,,,Yes,ND
SHELTER,VB07-431,,INDET,ND_A,0.1,No,,,,,,,,No,,,No,
SHELTER,VB05-862,,TYPE 11,TYPE 11A,7.3,Yes,No,No,No,No,Yes,Yes,No,Yes,Thin,Rounded,Yes,FeOx
SHELTER,VB07-2199,,TYPE 11F,TYPE 11F,6.5,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Thin,Rounded,No,FOR
SHELTER,VB05-2425,,TYPE 11,RMU_W01,0.8,Yes,No,No,No,No,No,Yes,No,Yes,Thin,Rounded,Yes,FeOx; Mineral
SHELTER,VB05-2362,,TYPE 11,TYPE 11A,0.1,Yes,No,No,No,No,Yes,Yes,No,No,,,Yes,FeOx; ND
SHELTER,VB05-1387,,TYPE 11,TYPE 11A,2.2,Yes,No,No,No,No,Yes,Yes,No,No,,,No,
SHELTER,VB05-1053,,TYPE 11,TYPE 11A,0.6,Yes,No,No,No,No,Yes,No,Yes,No,,,Yes,FeOx
SHELTER,VB08-4088,,INDET,ND_A,1.3,Yes,,,,,Yes,,,Yes,Thin,Rounded,Yes,FeOx
SHELTER,VB07-1121,,TYPE 7,TYPE 7,0.7,Yes,No,No,No,No,No,Yes,No,No,,,Yes,FeOx; Spi
SHELTER,VB06-1660,,INDET,ND_A,0.1,Yes,,,,,Yes,,,No,,,Yes,FeOx
SHELTER,VB06-675,,Type 2,Type 2,22.3,Yes,No,No,No,No,No,Yes,No,No,,,Yes,FeOx (VF)
SHELTER,VB06-1274,,Type 2,Type 2,2.5,No,,,,,,,,Yes,Medium,Outcrop,FeOx (VF); ND,
SHELTER,VB06-2264,,Type 2,TYPE 2B,0.7,No,,,,,,,,No,,,Yes,FeOx
SHELTER,VB08-1564,,Type 2,Type 2,2.2,No,,,,,,,,No,,,Yes,FeOx
SHELTER,VB08-5483,,Type 2,Type 2,0.9,No,,,,,,,,No,,,Yes,FeOx
SHELTER,VB06-1894,,Type 2,Type 2,1.6,Yes,No,No,No,No,No,Yes,No,No,,,Yes,FeOx; ND
SHELTER,VB06-1658,,Type 2,TYPE 2B,0.4,No,,,,,,,,No,,,Yes,FeOx; ND
SHELTER,VB07-212,,Type 2,Type 2,0.1,No,,,,,,,,No,,,Yes,FeOx; ND; Spi
SHELTER,VB06-1873,,Type 2,Type 2,1.2,No,,,,,,,,No,,,Yes,FeOx; ND
SHELTER,VB07-983,,Type 2,Type 2,2.5,No,,,,,,,,Yes,Thick,Outcrop,Yes,FeOx
SHELTER,VB08-1581,,Type 2,Type 2,0.6,No,,,,,,,,Yes,Medium,Outcrop,Yes,FeOx
SHELTER,VB06-2273,,Type 2,TYPE 2B,6.2,Yes,No,No,No,No,No,Yes,No,Yes,Medium,Outcrop,Fe; ND,
SHELTER,VB06-641,,Type 2,Type 2,23.9,Yes,No,No,No,No,No,Yes,Yes,Yes,Medium,Rounded,Yes,Fe; ND
SHELTER,VB06-676,,Type 2,Type 2,18.8,Yes,No,No,No,No,No,No,Yes,Yes,Thick,Rounded,Yes,Fe; ND
SHELTER,VB08-5538,,Type 2,Type 2,0.9,No,,,,,,,,No,,,Yes,Fe; ND
SHELTER,VB06-2221,,Type 2,Type 2,4.1,No,,,,,,,,Yes,Medium,Rounded,Yes,Fe; ND
SHELTER,VB07-1587,,Type 2,Type 2,0.9,Yes,No,Yes,Yes,No,No,No,No,No,,,Yes,Fe; ND
SHELTER,VB06-1780,,Type 2,Type 2,0.1,No,,,,,,,,Yes,Medium,Other,Yes,FeOx; ND
SHELTER,VB06-394,,Type 2,Type 2,2.3,No,,,,,,,,Yes,Thick,Rounded,Yes,FeOx; ND
SHELTER,VB06-416,,Type 2,TYPE 2B,22,Yes,No,No,No,No,No,Yes,Yes,Yes,Medium,Other,Yes,FeOx; ND
SHELTER,VB09-695,,Type 2,Type 2,2.6,Yes,No,No,No,No,No,Yes,No,No,,,Yes,FeOx; ND
SHELTER,VB06-2223,,Type 2,TYPE 2B,2.1,No,,,,,,,,Yes,Medium,Other,Yes,FeOx; ND; Org
SHELTER,VB06-578,,Type 2,Type 2,0.7,Yes,No,No,No,No,No,No,Yes,No,,,No,FeOx; ND; Org
SHELTER,VB08-4949,,Type 2,TYPE 2B,0.8,No,,,,,,,,No,,,Yes,FeOx; ND
SHELTER,VB06-1282,,Type 2,Type 2,9.6,Yes,No,No,No,No,No,Yes,No,Yes,Medium,Outcrop,Yes,FeOx; ND; Org
SHELTER,VB08-1485,,Type 2,Type 2,1.3,No,,,,,,,,No,,,Yes,FeOx; ND
SHELTER,VB06-1450,,Type 2,Type 2,0.5,Yes,No,No,No,No,No,Yes,Yes,No,,,Yes,FeOx
SHELTER,VB06-2029,,Type 2,Type 2,0.5,No,,,,,,,,Yes,Thick,Rounded,Yes,FeOx
SHELTER,VB08-5485,,Type 2,Type 2,1.8,No,,,,,,,,Yes,Medium,Rounded,Yes,FeOx; ND
SHELTER,VB09-168,,Type 2,Type 2,1.7,No,,,,,,,,Yes,Medium,Rounded,Yes,FeOx; ND
SHELTER,VB06-1842,,Type 2,Type 2,1.2,No,,,,,,,,No,,,Yes,FeOx; ND
SHELTER,VB06-2157,,Type 2,Type 2,0.7,Yes,No,No,No,No,No,Yes,No,No,,,Yes,FeOx; ND
SHELTER,VB07-1638,,Type 2,Type 2,0.4,No,,,,,,,,No,,,Yes,FeOx
SHELTER,VB06-905,,Type 2,Type 2,1.8,No,,,,,,,,Yes,Medium,Rounded,Yes,FeOx
SHELTER,VB07-1640,,Type 2,Type 2,0.6,Yes,No,No,No,No,No,No,Yes,Yes,Thin,Other,Yes,FeOx; ND
SHELTER,VB08-3715,,Type 2,Type 2,0.7,No,,,,,,,,Yes,Medium,Other,Yes,FeOx; ND
SHELTER,VB06-1513,,Type 2,Type 2,3.1,Yes,No,No,No,No,No,No,Yes,Yes,Medium,Rounded,Yes,FeOx; ND
SHELTER,VB09-422,,Type 2,TYPE 2B,0.4,Yes,No,No,No,No,No,No,Yes,No,,,Yes,FeOx
SHELTER,VB09-623,,Type 2,Type 2,3,No,,,,,,,,No,,,Yes,FeOx
SHELTER,VB08-5335,,Type 2,Type 2,0.8,Yes,No,No,No,No,No,Yes,No,Yes,Medium,Other,No,FeOx
SHELTER,VB05-975,,Type 2,Type 2,1.2,Yes,No,No,No,No,No,Yes,No,Yes,Thick,Outcrop,Yes,FeOx; ND
SHELTER,VB09-1658,,Type 2,TYPE 2B,0.7,No,,,,,,,,No,,,Yes,FeOx; ND
SHELTER,VB07-1459,,Type 2,TYPE 2B,3,Yes,No,No,No,No,No,Yes,No,Yes,Medium,Outcrop,Yes,FeOx; ND
SHELTER,VB09-521,,Type 2,TYPE 2B,6.1,No,,,,,,,,No,,,Yes,FeOx; ND
SHELTER,VB09-55,,Type 2,TYPE 2B,0.9,No,,,,,,,,Yes,Medium,Other,Yes,FeOx; ND
SHELTER,VB08-2427,,Type 2,Type 2,2.3,Yes,No,No,No,No,No,Yes,No,Yes,Medium,Other,Yes,FeOx; ND
SHELTER,VB06-122,,Type 2,TYPE 2B,2.1,No,,,,,,,,No,,,Yes,FeOx; ND
SHELTER,VB05-1659,,Type 2,TYPE 2B,3.5,Yes,No,No,No,No,No,Yes,No,Yes,Medium,Rounded,Yes,FeOx; ND
SHELTER,VB07-890,,Type 2,Type 2,2.3,No,,,,,,,,Yes,Medium,Other,Yes,FeOx; ND
SHELTER,VB07-1308,,Type 2,Type 2,11.5,Yes,No,No,No,No,No,Yes,Yes,Yes,Medium,Other,Yes,FeOx; ND; Spi
SHELTER,VB07-1292,,Type 2,Type 2,2.6,Yes,No,No,No,No,No,Yes,Yes,No,,,Yes,FeOx; ND; Spi; Org
SHELTER,VB08-5665,,Type 2,Type 2,1,No,,,,,,,,No,,,Yes,FeOx; ND
SHELTER,VB08-5999,,Type 2,Type 2,4.6,Yes,No,No,No,No,No,Yes,Yes,No,,,Yes,FeOx; ND; Minerals
SHELTER,VB07-1156,,Type 2,TYPE 2B,5.2,Yes,No,No,No,No,No,Yes,Yes,Yes,Medium,Rounded,Yes,FeOx; ND
SHELTER,VB08-3405,,Type 2,Type 2,1.1,Yes,No,No,No,No,No,Yes,No,No,,,No,FeOx; ND
SHELTER,VB08-5048,,Type 2,TYPE 2B,13.2,Yes,No,No,No,No,No,Yes,Yes,Yes,Medium,Rounded,Yes,FeOx; ND
SHELTER,VB09-2024,,Type 2,TYPE 2B,3.8,No,,,,,,,,Yes,Medium,Outcrop,Yes,FeOx; ND; Org
SHELTER,VB05-2487,,Type 2,TYPE 2B,15.6,Yes,No,No,No,No,No,No,Yes,Yes,Medium,Rounded,Yes,FeOx; ND; Org
SHELTER,VB06-1436,,Type 2,TYPE 2B,2.6,No,,,,,,,,No,,,Yes,FeOx; ND
SHELTER,VB09-604,,Type 2,TYPE 2B,1.6,No,,,,,,,,No,,,Yes,FeOx; ND
SHELTER,VB07-1461,,Type 2,TYPE 2B,1.6,No,,,,,,,,No,,,Yes,FeOx; ND; Spi
