Baseline,Background,SiO2,Dolomite,Observed,Difference
14.2308,680.45,682.88,680.56,696,13.01
14.281,678.16,680.61,678.28,694,13.28
14.3311,675.9,678.38,676.02,677,-1.49
14.3812,673.68,676.18,673.8,651,-25.3
14.4314,671.5,674.03,671.62,686,11.86
14.4815,669.35,671.9,669.47,686,13.98
14.5316,667.23,669.81,667.35,696,26.07
14.5818,665.16,667.77,665.28,624,-43.88
14.6319,663.11,665.75,663.23,731,65.13
14.6821,661.1,663.77,661.22,622,-41.89
14.7322,659.13,661.82,659.25,652,-9.94
14.7823,657.19,659.91,657.31,594,-66.04
14.8325,655.28,658.03,655.41,701,42.84
14.8826,653.41,656.19,653.54,670,13.68
14.9327,651.57,654.39,651.7,683,28.48
14.9829,649.77,652.62,649.9,637,-15.75
15.033,648,650.88,648.13,656,4.99
15.0832,646.26,649.17,646.39,609,-40.31
15.1333,644.56,647.51,644.69,681,33.36
15.1834,642.89,645.87,643.02,717,71
15.2336,641.25,644.27,641.38,643,-1.4
15.2837,639.65,642.7,639.79,587,-55.84
15.3338,638.08,641.17,638.22,631,-10.3
15.384,636.54,639.67,636.68,624,-15.8
15.4341,635.03,638.2,635.17,666,27.67
15.4842,633.55,636.75,633.69,614,-22.9
15.5344,632.11,635.36,632.25,632,-3.5
15.5845,630.7,633.99,630.85,620,-14.13
15.6347,629.31,632.64,629.46,641,8.21
15.6848,627.96,631.33,628.11,587,-44.48
15.7349,626.64,630.05,626.79,592,-38.21
15.7851,625.35,628.81,625.51,570,-58.97
15.8352,624.09,627.6,624.25,640,12.24
15.8853,622.86,626.41,623.02,589,-37.58
15.9355,621.66,625.26,621.83,605,-20.43
15.9856,620.48,624.13,620.65,668,43.69
16.0358,619.34,623.04,619.52,658,34.78
16.0859,618.23,621.98,618.42,579,-43.17
16.136,617.14,620.95,617.35,611,-10.15
16.1862,616.08,619.94,616.3,636,15.84
16.2363,615.05,618.97,615.3,621,1.79
16.2864,614.04,618.01,614.33,569,-49.31
16.3366,613.06,617.09,613.42,593,-24.46
16.3867,612.11,616.2,612.59,593,-23.68
16.4369,611.19,615.35,611.87,604,-12.02
16.487,610.29,614.51,611.29,580,-35.51
16.5371,609.42,613.71,610.7,635,20.01
16.5873,608.57,612.92,609.77,597,-17.12
16.6374,607.74,612.16,608.6,599,-14.03
16.6875,606.95,611.45,607.53,571,-41.02
16.7377,606.17,610.74,606.59,581,-30.16
16.7878,605.42,610.07,605.75,599,-11.4
16.838,604.69,609.42,604.97,577,-32.7
16.8881,603.99,608.8,604.24,624,14.95
16.9382,603.31,608.2,603.54,582,-26.43
16.9884,602.65,607.63,602.87,578,-29.85
17.0385,602.02,607.09,602.23,644,36.71
17.0886,601.4,606.56,601.6,570,-36.77
17.1388,600.81,606.06,601.01,609,2.74
17.1889,600.24,605.59,600.44,593,-12.79
17.239,599.69,605.14,599.88,607,1.66
17.2892,599.16,604.72,599.35,606,1.08
17.3393,598.66,604.33,598.85,597,-7.52
17.3895,598.17,603.95,598.36,636,31.86
17.4396,597.7,603.6,597.89,607,3.21
17.4897,597.25,603.28,597.44,613,9.54
17.5399,596.82,602.97,597.01,530,-73.16
17.59,596.4,602.69,596.59,586,-16.88
17.6401,596.01,602.43,596.2,624,21.37
17.6903,595.63,602.2,595.82,579,-23.39
17.7404,595.28,602,595.47,614,11.81
17.7906,594.93,601.81,595.13,597,-5
17.8407,594.61,601.65,594.81,615,13.16
17.8908,594.3,601.51,594.5,616,14.29
17.941,594.01,601.4,594.21,601,-0.6
17.9911,593.73,601.31,593.93,628,26.49
18.0412,593.47,601.24,593.67,590,-11.45
18.0914,593.23,601.21,593.43,569,-32.41
18.1415,593,601.2,593.21,594,-7.4
18.1917,592.78,601.21,592.99,583,-18.41
18.2418,592.58,601.25,592.79,576,-25.46
18.2919,592.39,601.31,592.6,584,-17.52
18.3421,592.22,601.41,592.43,595,-6.62
18.3922,592.06,601.53,592.28,586,-15.75
18.4423,591.91,601.68,592.13,534,-67.9
18.4925,591.78,601.87,592,566,-36.09
18.5426,591.65,602.08,591.87,568,-34.3
18.5928,591.54,602.33,591.76,553,-49.56
18.6429,591.44,602.7,591.67,598,-4.93
18.693,591.36,603.86,591.59,582,-22.08
18.7432,591.28,607.75,591.51,598,-9.98
18.7933,591.22,619.5,591.45,609,-10.73
18.8434,591.16,627.87,591.4,682,53.89
18.8936,591.12,616.45,591.36,706,89.32
18.9437,591.08,610.74,591.32,624,13.01
18.9938,591.06,608.8,591.31,587,-22.04
19.044,591.04,608.17,591.29,634,25.58
19.0941,591.03,608.13,591.28,636,27.62
19.1443,591.04,608.42,591.3,629,20.33
19.1944,591.05,608.91,591.31,675,65.83
19.2445,591.07,609.57,591.33,616,6.17
19.2947,591.09,610.36,591.36,625,14.37
19.3448,591.13,611.3,591.4,697,85.43
19.3949,591.17,612.37,591.45,655,42.36
19.4451,591.22,613.57,591.5,612,-1.84
19.4952,591.27,614.92,591.55,642,26.79
19.5454,591.34,616.46,591.63,592,-24.75
19.5955,591.41,618.19,591.7,730,111.53
19.6456,591.48,620.12,591.78,659,38.58
19.6958,591.56,622.32,591.87,672,49.37
19.7459,591.65,624.82,591.97,694,68.86
19.796,591.74,627.66,592.09,691,62.99
19.8462,591.84,630.93,592.24,749,117.67
19.8963,591.94,634.7,592.36,698,62.88
19.9465,592.04,639.09,592.44,741,101.51
19.9966,592.16,644.25,592.54,702,57.37
20.0467,592.27,650.35,592.65,697,46.27
20.0969,592.39,657.59,592.76,752,94.04
20.147,592.51,666.45,592.89,788,121.18
20.1971,592.64,677.35,593.02,824,146.27
20.2473,592.77,690.99,593.16,848,156.62
20.2974,592.9,708.38,593.3,823,114.22
20.3476,593.03,731.06,593.44,826,94.54
20.3977,593.17,761.44,593.59,903,141.14
20.4478,593.31,803.51,593.74,954,150.06
20.498,593.45,864.2,593.89,982,117.35
20.5481,593.6,956.49,594.05,1076,119.06
20.5982,593.74,1106.83,594.21,1142,34.7
20.6484,593.89,1375.42,594.38,1502,126.1
20.6985,594.04,1914.36,594.54,2074,159.14
20.7486,594.19,3130.54,594.72,3576,444.94
20.7988,594.34,5989.95,594.89,6695,704.51
20.8489,594.49,10170.45,595.06,10759,587.98
20.8991,594.64,8863.74,595.24,9435,570.66
20.9492,594.79,4879,595.43,5142,262.36
20.9993,594.94,2531.37,595.61,2560,27.95
21.0495,595.1,1637.27,595.82,1669,31.02
21.0996,595.25,1241.94,596.02,1271,28.3
21.1497,595.4,1036.15,596.22,1153,116.02
21.1999,595.55,916,596.44,1038,121.1
21.25,595.7,839.91,596.67,901,60.12
21.3002,595.85,788.75,596.92,859,69.18
21.3503,596,752.75,597.19,829,75.06
21.4004,596.15,726.49,597.48,786,58.18
21.4506,596.3,706.77,597.82,838,129.72
21.5007,596.44,691.71,598.19,764,70.53
21.5508,596.59,679.81,598.66,713,31.12
21.601,596.73,670.32,599.24,723,50.17
21.6511,596.87,662.66,600.02,670,4.2
21.7013,597.01,656.39,601.07,716,55.56
21.7514,597.14,651.21,602.53,693,36.4
21.8015,597.28,646.9,604.84,700,45.54
21.8517,597.41,643.28,608.74,653,-1.62
21.9018,597.54,640.23,615.52,676,17.79
21.9519,597.66,637.64,626.25,707,40.77
22.0021,597.79,635.44,636.46,766,91.9
22.0522,597.91,633.55,635.26,781,110.1
22.1024,598.02,631.93,624.79,805,146.3
22.1525,598.14,630.55,614.73,719,71.86
22.2026,598.25,629.37,608.67,703,63.21
22.2528,598.36,628.36,605.39,654,18.61
22.3029,598.46,627.49,603.52,649,16.45
22.353,598.56,626.76,602.41,639,8.39
22.4032,598.66,626.14,601.72,627,-2.2
22.4533,598.75,625.61,601.28,579,-49.14
22.5034,598.84,625.19,600.99,629,1.66
22.5536,598.93,624.84,600.81,633,6.28
22.6037,599.01,624.57,600.68,577,-49.24
22.6539,599.08,624.36,600.6,636,10.11
22.704,599.16,624.22,600.57,655,29.37
22.7541,599.23,624.14,600.55,651,25.55
22.8043,599.29,624.1,600.55,594,-31.36
22.8544,599.35,624.12,600.56,580,-45.33
22.9045,599.4,624.17,600.58,587,-38.36
22.9547,599.45,624.28,600.61,586,-39.45
23.0048,599.5,624.43,600.66,620,-5.59
23.055,599.54,624.63,600.7,593,-32.79
23.1051,599.58,624.86,600.76,611,-15.03
23.1552,599.61,625.13,600.81,590,-36.33
23.2054,599.63,625.44,600.88,550,-76.69
23.2555,599.65,625.78,600.95,567,-60.09
23.3056,599.67,626.18,601.05,574,-53.55
23.3558,599.68,626.6,601.15,612,-16.07
23.4059,599.69,627.07,601.29,608,-20.66
23.4561,599.69,627.58,601.45,585,-44.33
23.5062,599.68,628.12,601.65,595,-35.08
23.5563,599.67,628.7,601.92,558,-72.95
23.6065,599.65,629.33,602.28,546,-85.96
23.6566,599.63,630,602.79,641,7.84
23.7067,599.6,630.72,603.53,574,-60.65
23.7569,599.57,631.48,604.66,607,-29.57
23.807,599.53,632.47,606.49,584,-55.42
23.8572,599.49,635.09,609.58,609,-36.18
23.9073,599.44,642.59,615,640,-18.14
23.9574,599.38,667.39,624.19,727,34.8
24.0076,599.32,739.46,635.72,833,57.14
24.0577,599.25,759.11,639.37,836,36.77
24.1078,599.18,696.27,631.41,728,-0.51
24.158,599.1,668.63,620.12,680,-9.65
24.2081,599.01,657.89,612.09,622,-48.98
24.2582,598.92,653.21,607.52,623,-38.82
24.3084,598.82,651.16,604.89,581,-76.23
24.3585,598.72,650.47,603.27,606,-49.02
24.4087,598.61,650.6,602.19,591,-63.18
24.4588,598.5,651.3,601.43,618,-36.22
24.5089,598.38,652.4,600.85,624,-30.87
24.5591,598.25,653.83,600.39,549,-106.97
24.6092,598.11,655.57,600.01,637,-20.47
24.6593,597.98,657.6,599.69,619,-40.31
24.7095,597.83,659.9,599.39,607,-54.47
24.7596,597.68,662.49,599.13,632,-31.94
24.8098,597.52,665.37,598.88,578,-88.73
24.8599,597.36,668.57,598.64,586,-83.85
24.91,597.19,672.11,598.42,626,-47.33
24.9602,597.01,676.01,598.19,626,-51.19
25.0103,596.83,680.33,597.97,603,-78.47
25.0604,596.64,685.11,597.75,575,-111.21
25.1106,596.44,690.4,597.52,581,-110.48
25.1607,596.24,696.28,597.3,634,-63.34
25.2109,596.03,702.82,597.07,605,-98.87
25.261,595.82,710.12,596.85,644,-67.15
25.3111,595.6,718.29,596.62,673,-46.31
25.3613,595.38,727.48,596.39,728,-0.49
25.4114,595.14,737.74,596.15,729,-9.75
25.4615,594.91,749.47,595.91,746,-4.47
25.5117,594.66,762.81,595.66,720,-43.81
25.5618,594.41,778.08,595.41,800,20.91
25.612,594.16,795.67,595.17,841,44.33
25.6621,593.89,816.03,594.9,957,139.95
25.7122,593.62,839.81,594.64,1172,331.17
25.7624,593.35,867.79,594.37,1253,384.19
25.8125,593.07,901,594.1,1177,274.97
25.8626,592.78,940.82,593.82,1159,217.14
25.9128,592.49,989.13,593.54,1194,203.82
25.9629,592.19,1048.5,593.25,1232,182.44
26.013,591.89,1122.58,592.96,1262,138.36
26.0632,591.58,1216.63,592.67,1375,157.29
26.1133,591.26,1338.53,592.36,1417,77.37
26.1635,590.94,1500.49,592.05,1663,161.39
