Site,Level,Area,LOT,UNIT,ID,RawMaterial,QuartzQuality,Class,CorePreparProd,RetouchedPieceBlank,PieceCompleteness,Cortex,CortexLocation,CortexType,PlatformType,PlatformCortex,Lipping,BlankShape,CrossSection,BlankTip,Profile,ScarCount,ScarPattern,Thickness,MaxWidth,ProxWidth,MedWidth,DistWidth,Length,PlatformThickness,PlatformWidth,ExteriorPlatformAngle,Weight,CoreType,CoreCrossSection,NumberCoreFaces,CorePlatform,CoreDistalTreatment,CoreLeftTreatment,CoreRightTreatment,CoreBackTreatment,MainFaceCortex,MainFaceScarCount,MainFaceScarDirection,MainFaceArisOrientation,MainFaceScarLength,MainFaceScarMaxWidth,MainFaceScarProxWidth,MainFaceScarMedWidth,MainFaceScarDistWidth,MainFacePlatformAngle,MainFaceCoreUse,DistalFaceCortex,DistalFaceScarCount,DistalFaceScarDirection,DistalFaceArisOrientation,DistalFaceCoreUse,LeftFaceCortex,LeftFaceScarCount,LeftFaceScarDirection,LeftFaceArisOrientation,LeftFaceCoreUse,RightFaceCortex,RightFaceScarCount,RightFaceScarDirection,RightFaceArisOrientation,RightFaceCoreUse,BackFaceCortex,BackFaceScarCount,BackFaceScarDirection,BackFaceArisOrientation,BackFaceCoreUse,CoreAbandon,Alteration,Fire,EdgeDamage,RetouchedPieceTypology,ChipQuantity,OtherNotes
VB,,T,LOT-321,I18,2991,Quartz,Fine,Blank,,,,31-60%,LeftLateral,Cobble,Crushed,No,No,Convergent,Triangular,Feather,Curved,2,Unidirectional,6.13,15.88,12.37,15.25,6.68,28.33,2.95,5.37,143.5,2.7,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,
VB,,T,LOT-321,I18,3172,Chert,,Blank,,,,0%,,,Plain,No,Yes,Convergent,Triangular,Pointed,Straight,4,Bidirectional,4.23,9.06,8.53,8.76,4.03,26.25,6.83,8.04,162.5,1,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,
VB,,T,LOT-321,I18,3106,Quartz,Fine,Blank,,,,0%,,,Plain,No,No,Irregular,Irregular,Feather,Curved,1,Unidirectional,4.7,17.22,12.05,15.35,8.14,18.86,3.88,9.61,131.4,1.3,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,Yes,,0,
VB,,T,LOT-321,I18,3105,Greywacke,,Blank,,,,0%,,,Plain,No,No,Parallel,Triangular,Hinge,Straight,2,Unidirectional,6.51,15.83,11.77,15.69,13.8,26.89,4.43,9.01,113.6,3.2,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-321,I18,3070,Greywacke,Fine,Blank,,,,0%,,,Plain,No,No,Irregular,Triangular,Hinge,Straight,1,Unidirectional,10.13,31.39,22.4,30.51,24.9,25.23,9.85,22.18,122.4,8.4,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,,0,
VB,,T,LOT-321,I18,3064,Chalcedony,,Blank,,,,0%,,,Crushed,No,No,Convergent,Triangular,Hinge,Straight,2,Unidirectional,12.5,14.49,11.31,13.85,10.95,27.14,3.68,5.81,144.1,4.1,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-257,I18,3114,Quartz,Medium,Blank,,,,0%,,,Plain,No,No,Irregular,Triangular,Pointed,Straight,2,Unidirectional,12.15,21.92,22.15,19.23,6.49,29.19,14.26,22.26,72.8,6.7,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,,0,
VB,,T,LOT-257,I18,3246,Quartz,Medium,Blank,,,,0%,,,Plain,No,No,Irregular,Triangular,Hinge,Straight,2,Unidirectional,15.29,36.51,36.48,38.15,21.98,38.34,13.88,32.96,102.5,30.2,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,,0,
VB,,T,LOT-257,I18,3197,Chert,,RetouchedPiece,,Blank,,61-99%,Mesial,Indeterminate,Plain,No,No,Parallel,Triangular,Feather,Curved,1,Unidirectional,7.46,17.6,15.24,15.78,15.2,21.48,7.61,13.33,84.3,2.8,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,Retouched flake,0,
VB,,T,LOT-257,I18,2827,Quartz,Coarse,Blank,,,,0%,,,Plain,No,No,Convergent,Triangular,Feather,Straight,2,Unidirectional,15.08,25.51,17.72,25.51,10.58,37.45,11.59,13.15,87.3,13.5,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,,0,
VB,,T,LOT-257,I18,2838,Quartz,Fine,Core,,,,0%,,,,No,No,,,,,0,,17.59,27.57,28.39,27.53,22.44,33.27,18.3,27.9,94.2,22.4,SinglePlat,Circular,One,Plain,FlakingSurface,FlakingSurface,FlakingSurface,RandomRemoval,0%,2,Unidirectional,Parallel,34.34,27.54,27.38,27.29,17.24,58.9,Flakes,0%,1,,,Flakes,0%,1,,,Flakes,0%,1,,,Blades,,0,,,,NoReason,None,,,,0,Esquirolada
VB,,T,LOT-257,I18,3043,Quartz,Medium,Core,,,,31-60%,,Cobble,,No,No,,,,,0,,31.24,51.24,49.82,49.91,31.85,28.82,34.5,50.02,89.4,53.2,SinglePlat,Irregular,Two,Plain,RandomRemoval,RandomRemoval,FlakingSurface,Cortical,0%,4,Unidirectional,Parallel,29,16.27,16.27,12.43,6.64,79.1,Flakes,,0,,,,,0,,,,0%,3,Unidirectional,Parallel,Flakes,,0,,,,NoReason,None,,,,0,
VB,,T,LOT-257,I18,2798,Greywacke,,Blank,,,,1-30%,RightLateral,Indeterminate,Plain,YesComplete,No,Irregular,Irregular,Feather,Straight,1,Unidirectional,13.22,41.03,34.61,40.85,14.71,33.33,11.41,33.97,133,20.4,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,,0,
VB,,T,LOT-257,I18,2720,Chert,,RetouchedPiece,,Blank,,0%,,,Plain,No,No,Irregular,Triangular,Feather,Straight,3,Bidirectional,5.45,23.75,22.02,21.3,7.91,28.93,5.79,18.94,93.7,3.8,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,Retouched flake,0,
VB,,T,LOT-257,I18,3281,Chert,,Blank,,,,1-30%,Distal,Indeterminate,Plain,No,No,Irregular,Irregular,Feather,Straight,3,Unidirectional,6.99,26.61,20.28,25.32,14.19,23.74,6.96,15.73,82.8,4.8,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-257,I18,3099,Chert,,Blank,,,,1-30%,Distal,Cobble,Linear,No,No,Divergent,Lenticular,Step,Straight,1,Unidirectional,3.66,16.95,7.18,15.89,5.29,15.2,2.72,7.09,0,1.1,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-257,I18,3099,Quartz,Fine,Blank,,,,0%,,,Plain,No,No,Irregular,Triangular,Step,Irregular,2,Unidirectional,5.44,15.02,8.42,15.4,12.7,12.39,3.79,7.61,96.8,1,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,
VB,,T,LOT-257,I18,3243,Chert,,Blank,,,,0%,,,Crushed,No,No,Irregular,Lenticular,Feather,Straight,1,Unidirectional,2.99,13.1,8.33,13.49,12.17,19.19,2.14,4.47,80.4,0.7,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-257,I18,3244,Quartz,Fine,Blank,,,,0%,,,Plain,No,No,Convergent,Irregular,Feather,Straight,1,Unidirectional,6.56,17.74,13.42,17.81,8.62,17.25,5.92,8.92,67.2,2.3,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-257,I18,3215,Quartz,Fine,Blank,,,,0%,,,Crushed,No,No,Irregular,Triangular,Hinge,Straight,4,Unidirectional,7.2,17.81,12.16,14.69,17.78,12.73,2.52,5.44,78.7,1.7,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-257,I18,3029,Quartz,Fine,Blank,,,,1-30%,RightLateral,Cobble,Linear,No,No,Parallel,Triangular,Feather,Straight,1,Unidirectional,3.91,4.87,3.35,5.06,2.79,18.81,5.31,2.79,0,0.6,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-257,I18,3110,Greywacke,,Blank,,,,0%,,,Plain,No,No,Irregular,Irregular,Step,Irregular,1,Unidirectional,4.88,23.33,7.99,24.93,15.93,20.5,3.26,7.81,96.9,3,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,,0,
VB,,T,LOT-257,I18,3163,Chalcedony,,Blank,,,,0%,,,Plain,No,Yes,Irregular,Irregular,Feather,Straight,4,Centripetal,3.97,13.85,13.16,13.81,7.62,10.13,2.52,7.12,107.4,0.6,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-321,I18,3058,Quartz,Coarse,Blank,,,,0%,,,Plain,No,No,Irregular,Irregular,Pointed,Straight,2,Unidirectional,15.58,25.96,26.49,21.41,13.68,29.05,17.15,23.44,111.2,11.6,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,,0,
VB,,T,LOT-321,I18,2981,Chert,,Blank,,,,0%,,,Plain,YesComplete,No,Dejete,Triangular,Feather,Irregular,1,Unidirectional,9.06,49.73,28,38.89,48.37,58.07,10.66,23.26,138.2,33.7,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,
VB,,T,LOT-321,I18,3079,Chalcedony,,Core,,,,1-30%,,Indeterminate,,No,No,,,,,0,,21.51,23.69,21.08,23.06,18.61,36.91,19.98,21.08,143,28.8,Inform,Quadrangular,,,,,,,,0,,,0,0,0,0,0,0,Flakes,,0,,,,,0,,,,,0,,,,,0,,,,NoReason,Concretion,,,,0,
VB,,T,LOT-321,I18,3103,Chert,,Blank,,,,0%,,,Plain,No,No,Convergent,Triangular,Step,Curved,4,Bidirectional,5.16,18.02,10.04,15.78,12.52,31.75,3.34,6.71,123.5,2.5,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,
