ID,CLASS,COREPREPARPROD,PIECECOMPLETENESS,CORTEX,CORTEXLOCATION,PLATFORMTYPE,PLATFORMCORTEX,SCARCOUNT,THICKNESS,MAXWIDTH,LENGTH,COREPLATFORM,MAINFACECORTEX,MAINFACESCARCOUNT,COREABANDON,RETOUCHEDPIECETYPOLOGY
K19-95,CoreFrag,,,0%,,,,2,20.31,,,,,,,
K20-11,Flake,,,1-30%,Distal,Cortical,YesComplete,2,6.56,16.86,25.46,,,,,
K20-31,Flake,,,1-30%,RightLateral,Dihedral,No,5,6.29,32.92,36.73,,,,,
K20-46,Flake,,,31-60%,DistalLeftLat,Crushed,No,3,3.77,14.23,20.77,,,,,
K21-15,FlakeFrag,,Distal,1-30%,RightLateral,,,5,10.45,24.13,,,,,,
L18-103,Core,,,0%,,,,,23.1,17.3,17.7,Plain,0%,3,NaturalImperfection,
L18-106,ElongBlankFrag,,Mesial,1-30%,Mesial,,,3,2.17,6.97,,,,,,
L18-11,RetouchedPiece,,,0%,,Plain,No,6,6.92,18.98,38.72,,,,,Burin
L18-111,Flake,,,0%,,Cortical,YesComplete,3,5.46,18.45,16.79,,,,,
L18-115,RetouchedPieceFrag,,Distal,0%,,,,2,7.88,21.27,,,,,,Retouched piece fragment
L18-125,FlakeFrag,,Distal,0%,,,,3,3.32,11.82,,,,,,
L18-126,Flake,,,31-60%,Mesial,Plain,YesPartial,3,4,22.3,28,,,0,,
L18-139,ElongBlank,,,61-99%,RightLateral,Plain,YesPartial,1,7.57,11.37,21.39,,,,,
L18-166,Flake,,,1-30%,Proximal,Plain,YesComplete,3,4.4,11,19.3,,,,,
L18-172,Shatter,,,1-30%,,,,,,,,,,,,
L18-180,BurinSpall,,,61-99%,LeftLateral,,,1,5.51,,,,,,,
L18-204,Flake,,,1-30%,RightLateral,Cortical,YesComplete,4,14.6,18.2,35.7,,,,,
L18-261,FlakeFrag,,Distal,0%,,,,4,5.84,21.6,,,,,,
L18-262,Shatter,,,0%,,,,,,,,,,,,
L18-270,RetouchedPiece,,,0%,,Other,No,5,7.44,14.09,29.28,,,,,Burin
L18-284,ElongBlank,,,0%,,Plain,No,5,5.8,11.4,55.2,,,,,
L18-288,Flake,,,61-99%,LeftLateral,Plain,YesComplete,2,3.1,10,19,,,,,
L18-298,Flake,,,0%,,Winged,No,2,2.43,14.67,17.8,,,,,
L18-301,Shatter,,,0%,,,,,,,,,,,,
L18-329,Flake,,,1-30%,RightLateral,Cortical,YesComplete,3,6.1,17.3,21.2,,,,,
L18-351,ElongBlankFrag,,Distal,0%,,,,2,3.27,6.94,,,,,,
L18-352,Shatter,,,0%,,,,,,,,,,,,
L18-38,Flake,,,0%,,Plain,No,3,12.2,41.4,50.9,,,0,,
L18-389,RetouchedPiece,,,0%,,Crushed,No,5,13.57,10.65,24.84,,,,,Burin
L19-96,FlakeFrag,,Distal,0%,,,,2,2.1,15.6,,,,,,
L18-297,FlakeFrag,,Distal,1-30%,Distal,,,2,7.2,25.76,31.19,,,,,
H18-3480,RetouchedPiece,,,0%,,Dihedral,No,2,4.97,24.64,21.12,,,,,Retouched flake
H19-3984,RetouchedPieceFrag,,Distal,0%,,,,3,4.1,11.28,,,,,,Retouched bladelet frag
H18-3667,RetouchedPiece,,,0%,,Plain,No,3,7.64,23.14,27.98,,,,,Burin
H19-4159,Flake,,,1-30%,Distal,Winged,No,2,4.83,24.49,32.88,,,,,
H19-4001,RetouchedPiece,,,0%,,Plain,No,4,9.93,25.38,29.92,,,,,Notch
I21-4119,BurinSpall,,,0%,,Crushed,No,4,5.81,,,,,,,
I18-3696,CorePreparProd,CoreTrim,,0%,,Faceted,No,6,15.2,23.24,35.67,,,,,
H18-3569,Flake,,,0%,,Crushed,No,2,6.18,18.23,30.79,,,,,
H19-4114,BurinSpall,,,0%,,Plain,No,2,3.87,,,,,,,
I19-3715,FlakeFrag,,Distal,61-99%,Mesial,,,2,5.2,21.75,,,,,,
I21-4097,RetouchedPiece,,,0%,,Other,No,5,14.44,35.46,36.64,,,,,Endscrapper
H19-4031,CorePreparProd,CrestedPiece,,0%,,Plain,No,5,3.58,7.09,24.55,,,,,
J18-375,FlakeFrag,,Distal,0%,,,,1,7.18,31.61,,,,,,
I18-4309,BurinSpall,,,0%,,Plain,No,3,4.95,,,,,,,
I19-3681,Flake,,,0%,,Plain,No,4,10.41,36.52,34.21,,,,,
I19-3686,RetouchedPieceFrag,,Distal,0%,,,,2,7.36,13.22,,,,,,Retouched flake frag
I19-3833,BurinSpall,,,0%,,Crushed,No,2,4.39,,,,,,,
