ID,CLASS,COREPREPARPROD,PIECECOMPLETENESS,CORTEX,CORTEXLOCATION,PLATFORMTYPE,PLATFORMCORTEX,SCARCOUNT,THICKNESS,MAXWIDTH,LENGTH,COREPLATFORM,MAINFACECORTEX,MAINFACESCARCOUNT,COREABANDON,RETOUCHEDPIECETYPOLOGY
I19-3316,RetouchedPieceFrag,,Other,0%,,,,2,7.65,16.02,,,,,,Retouched piece fragment
I19-3331,ElongBlankFrag,,Distal,0%,,,,5,3.3,10.43,,,,,,
I19-3337,CorePreparProd,CoreFront,,0%,,Plain,No,6,9.1,13.8,24,,,,,
I19-3343,BurinSpall,,,0%,,,,4,1.99,,,,,,,
I19-3385,Flake,,,0%,,Dihedral,No,3,6.1,24.31,18.28,,,,,
I19-3397,Shatter,,,31-60%,,,,,,,,,,,,
H21-4494,Shatter,,,0%,,,,,,,,,,,,
I19-3407,RetouchedPiece,,,1-30%,DistalLeftLat,Crushed,No,5,5.5,15.2,29.96,,,,,Burin
I19-3408,Shatter,,,1-30%,,,,,,,,,,,,
I19-3415,FlakeFrag,,Distal,0%,,,,5,4,16.3,,,,,,
I19-3426,Flake,,,0%,,Dihedral,No,4,2.8,19.8,23.8,,,,,
I19-3427,RetouchedPieceFrag,,Other,0%,,,,2,5.91,24.08,,,,,,Retouched piece fragment
I19-3430,Shatter,,,31-60%,,,,,,,,,,,,
I19-3439,Shatter,,,1-30%,,,,,,,,,,,,
I19-3495,CorePreparProd,Overhang,,0%,,Plain,No,3,7.77,27.81,10.54,,,,,
I19-3511,RetouchedPiece,,,0%,,Plain,No,3,8.91,20.16,19.72,,,,,Retouched flake
I19-3512,RetouchedPiece,,,0%,,Plain,No,4,5.42,16.12,26.38,,,,,Burin
I19-3515,BurinSpall,,,0%,,,,2,6,,,,,,,
I19-3522,Flake,,,0%,,Plain,YesPartial,4,13.86,22.7,40.03,,,,,
I19-3527,BurinSpall,,,0%,,,,3,6.72,,,,,,,
I19-3536,ElongBlankFrag,,Distal,1-30%,Mesial,,,2,3.44,6.01,,,,,,
I19-3544,FlakeFrag,,Other,0%,,,,3,9.2,20.5,,,,,,
I19-3546,Flake,,,0%,,Cortical,YesComplete,3,6.47,21.42,21.51,,,,,
I19-3561,RetouchedPiece,,,1-30%,Distal,Crushed,No,4,5,18.8,38,,,,,Endscrapper
I19-3563,Flake,,,1-30%,ProxRightLat,Plain,YesPartial,3,5.07,20.9,36.11,,,,,
I19-3586,CorePreparProd,CoreFront,,0%,,Plain,No,3,10.65,34.85,22.5,,,,,
I19-3589,RetouchedPiece,,,1-30%,RightLateral,Crushed,No,4,5.8,29.5,24.9,,,,,Splintered piece
I19-3620,ElongBlank,,,0%,,Plain,No,4,4.3,18.8,47.5,,,,,
I19-3621,FlakeFrag,,Proximal,31-60%,LeftLateral,Dihedral,YesPartial,3,6.96,16.88,,,,,,
I19-3628,Flake,,,0%,,Dihedral,No,3,4.5,14.4,19.4,,,,,
I19-3629,Flake,,,1-30%,Distal,Plain,No,3,6.12,23.03,29.33,,,,,
I19-3641,Core,,,0%,,,,,11.9,11.8,23.3,Plain,0%,5,NoReason,
I19-3665,BurinSpall,,,0%,,,,3,4.64,,,,,,,
I19-3685,RetouchedPiece,,,0%,,Plain,No,5,6.12,17.95,21.78,,,,,Burin
I19-3699,RetouchedPiece,,,1-30%,Distal,Crushed,No,4,6.4,13.3,32.8,,,,,Retouched blade
I19-3700,Flake,,,61-99%,ProxRightLat,Cortical,YesComplete,2,8.51,31.71,30.94,,,,,
I19-3706,Flake,,,0%,,Plain,No,6,10.2,30,28.7,,,,,
I19-3722,FlakeFrag,,Proximal,0%,,Plain,No,2,4.77,22.03,,,,,,
I19-3739,Flake,,,0%,,Dihedral,No,4,5.61,20.82,21.52,,,,,
I19-3751,Shatter,,,0%,,,,,,,,,,,,
I19-3763,ElongBlankFrag,,Distal,0%,,,,2,3.16,4.12,,,,,,
I19-3776,ElongBlank,,,0%,,Crushed,No,5,2.22,10.44,23.3,,,,,
I19-378,RetouchedPiece,,,0%,,Removed,,4,4.8,17.3,29.4,,,,,Retouched flake
I19-3782,ElongBlankFrag,,Mesial,61-99%,LeftLateral,,,2,2.8,11.5,,,,,,
I19-3788,RetouchedPiece,,,1-30%,ProxRightLat,Plain,YesPartial,5,10.41,16.64,22.12,,,,,Burin
I19-3808,ElongBlankFrag,,Distal,1-30%,Distal,,,5,3.9,10.4,,,,,,
I19-3865,RetouchedPiece,,,0%,,Crushed,No,4,4.03,13.96,22.49,,,,,Burin
I19-3871,RetouchedPiece,,,0%,,Plain,No,4,6.2,24.1,21,,,,,Retouched flake
I19-3877,RetouchedPiece,,,61-99%,Distal,Plain,No,7,10.1,31.6,18,,,,,Notch
I19-3878,Flake,,,0%,,Plain,No,3,5.6,17.3,15,,,,,
I19-3881,FlakeFrag,,Distal,31-60%,Mesial,,,4,13.44,52.92,,,,,,
I19-3887,Flake,,,1-30%,Distal,Crushed,No,3,12.68,22.03,24.46,,,,,
I19-3891,Flake,,,31-60%,Distal,Plain,No,2,5.89,17.63,22.64,,,,,
I19-3902,RetouchedPieceFrag,,Proximal,0%,,Plain,No,2,3.45,7.77,,,,,,Backed bladelet
I19-3908,FlakeFrag,,Mesial,1-30%,LeftLateral,,,2,2,16.2,,,,,,
I19-3915,Flake,,,61-99%,Distal,Other,No,1,4.7,26.1,27.6,,,,,
I19-3920,Shatter,,,1-30%,,,,,,,,,,,,
I19-3921,FlakeFrag,,Distal,31-60%,Distal,,,3,2.58,12.6,,,,,,
I19-3927,Shatter,,,0%,,,,,,,,,,,,
I19-3947,RetouchedPiece,,,1-30%,RightLateral,Plain,No,3,5.3,22.9,23.4,,,,,Retouched flake
I19-3952,Shatter,,,31-60%,,,,,,,,,,,,
I19-3968,ElongBlankFrag,,Siret,0%,,,,2,7.1,19.2,,,,,,
I19-3973,BurinSpall,,,0%,,,,3,6.71,,,,,,,
I19-3983,Flake,,,0%,,Plain,No,5,7.4,22.5,17.36,,,,,
I19-3999,Shatter,,,1-30%,,,,,,,,,,,,
I19-4009,Shatter,,,1-30%,,,,,,,,,,,,
I19-4012,FlakeFrag,,Mesial,100%,,,,0,5.93,21.46,,,,,,
I19-4013,Flake,,,0%,,Winged,No,2,2.36,26.2,15.27,,,,,
I19-4019,RetouchedPieceFrag,,Distal,0%,,,,3,7.18,19.65,,,,,,Splintered piece fragment
I19-4031,CoreFrag,,,31-60%,Proximal,,,2,17.04,,,,,,,
I19-4035,RetouchedPiece,,,0%,,Plain,No,2,6.4,22.51,20.79,,,,,Retouched flake
I19-4039,Flake,,,0%,,Plain,No,5,3.9,51,48.1,,,,,
I19-4040,BurinSpall,,,1-30%,Proximal,,,3,6.14,,,,,,,
I19-4076,Shatter,,,1-30%,,,,,,,,,,,,
I19-4099,Flake,,,0%,,Plain,No,3,8.24,21.77,32.96,,,,,
I19-4103,Flake,,,0%,,Plain,No,3,4.2,9.6,14.7,,,,,
I19-4111,RetouchedPiece,,,1-30%,LeftLateral,Removed,,5,13.76,32.83,31.99,,,,,Endscrapper
I19-4119,Flake,,,1-30%,ProxLeftLat,Plain,No,3,3.2,46.8,46.1,,,,,
I19-4136,Flake,,,1-30%,LeftLateral,Plain,YesPartial,1,7.6,22.8,33.6,,,,,
I19-4159,RetouchedPiece,,,0%,,Removed,,3,2.29,5.06,23.2,,,,,Double backed bladelet
I20-1445,BurinSpall,,,31-60%,Mesial,,,3,10.15,,,,,,,
I20-3391,Flake,,,0%,,Plain,No,2,2.07,13.64,19.96,,,,,
I20-3415,Shatter,,,0%,,,,,,,,,,,,
I20-3434,ElongBlankFrag,,Proximal,0%,,Plain,No,3,4.3,12.2,,,,,,
I20-3471,FlakeFrag,,Siret,1-30%,Proximal,,,1,6.17,13.03,,,,,,
I20-3483,Flake,,,0%,,Plain,No,3,8.69,15.4,29.79,,,,,
I20-3484,Core,,,31-60%,,,,,17.8,39.7,26.8,Plain,1-30%,6,AngleLoss,
I20-3500,BurinSpall,,,0%,,,,3,5.21,,,,,,,
I20-3503,Shatter,,,0%,,,,,,,,,,,,
I20-3531,Flake,,,1-30%,LeftLateral,Plain,YesPartial,3,10.22,31.27,20.79,,,,,
I20-3539,ElongBlankFrag,,Distal,1-30%,LeftLateral,,,2,3.26,13.36,,,,,,
I20-3542,RetouchedPiece,,,0%,,Crushed,No,2,4.42,24.82,16.07,,,,,Notch
I20-3551,Flake,,,1-30%,RightLateral,Plain,YesPartial,1,5.35,16.28,25.72,,,,,
I20-3597,RetouchedPiece,,,1-30%,Proximal,Crushed,YesComplete,4,7.87,24.56,35,,,,,Burin splintered piece
I20-3603,Core,,,0%,,,,,39.23,46.02,23.59,Plain,0%,3,AngleLoss,
I20-3613,ElongBlank,,,61-99%,LeftLateral,Cortical,YesComplete,2,6,12,28.2,,,,,
I20-3623,Flake,,,0%,,Plain,No,3,5.61,18.27,24.22,,,,,
I20-3632,RetouchedPieceFrag,,Other,0%,,,,3,5.71,9.05,,,,,,Retouched piece fragment
I20-3633,ElongBlank,,,1-30%,Proximal,Cortical,YesComplete,3,4.15,10.93,35.92,,,,,
I20-3644,ElongBlank,,,1-30%,Distal,Plain,No,2,6.46,16.4,31.88,,,,,
I20-3653,Shatter,,,0%,,,,,,,,,,,,
I20-3656,Flake,,,1-30%,DistalRightLat,Plain,No,2,4.4,12.9,51.8,,,,,
I20-3668,RetouchedPiece,,,0%,,Crushed,No,5,8.5,10.88,22.19,,,,,Burin
I20-3691,ElongBlankFrag,,Distal,1-30%,LeftLateral,,,5,5.1,8.9,,,,,,
I20-3709,Shatter,,,61-99%,,,,,,,,,,,,
I20-3713,Shatter,,,61-99%,,,,,,,,,,,,
I20-3722,FlakeFrag,,Distal,1-30%,LeftLateral,,,4,5.03,16.69,,,,,,
I20-3727,FlakeFrag,,Distal,0%,,,,4,7.38,29.2,,,,,,
I20-3730,FlakeFrag,,Distal,1-30%,LeftLateral,,,3,3.7,15.2,,,,,,
I20-374,Flake,,,1-30%,RightLateral,Plain,No,3,6.77,13.18,26.1,,,,,
I20-3745,Core,,,31-60%,,,,,30,41.2,35.4,Plain,1-30%,6,AngleLoss,
I20-3751,FlakeFrag,,Siret,0%,,,,2,2.9,13.5,,,,,,
I20-3756,Flake,,,61-99%,Mesial,Plain,YesComplete,2,17.3,45.8,68.6,,,,,
I20-3761,Flake,,,61-99%,LeftLateral,Crushed,YesPartial,3,6.25,20.88,32.56,,,,,
I20-3764,Flake,,,0%,,Plain,No,7,9.7,48.2,30.2,,,,,
I20-3787,FlakeFrag,,Mesial,0%,,,,1,3.74,19.17,,,,,,
I20-3801,Flake,,,0%,,Plain,No,4,8.3,30.7,33.5,,,,,
I20-3809,RetouchedPiece,,,1-30%,Proximal,Cortical,YesComplete,4,8.17,29.76,36.24,,,,,Endscrapper
I20-3836,Shatter,,,31-60%,,,,,,,,,,,,
I20-3843,FlakeFrag,,Other,0%,,,,4,9.09,23.73,0,,,,,
I20-3850,Flake,,,0%,,Plain,No,2,4.66,20.79,26.58,,,,,
I20-3861,ElongBlankFrag,,Distal,0%,,,,3,3.5,8.2,,,,,,
I20-3876,FlakeFrag,,Proximal,1-30%,LeftLateral,Plain,No,1,3.6,12.6,,,,,,
I20-3878,ElongBlank,,,0%,,Dihedral,No,6,14.36,24.64,50.77,,,,,
I20-3880,Flake,,,0%,,Plain,No,4,3.02,14.41,23.67,,,,,
I20-3886,Flake,,,1-30%,LeftLateral,Plain,No,4,9.37,27.82,38.24,,,,,
I20-3900,RetouchedPiece,,,61-99%,Proximal,Plain,YesPartial,1,8.44,29.18,32.11,,,,,Endscrapper
I20-3955,FlakeFrag,,Proximal,0%,,Plain,,6,5.17,32.08,0,,,,,
I20-3966,BurinSpall,,,0%,,,,2,10.22,,,,,,,
I20-3991,RetouchedPiece,,,0%,,Crushed,YesPartial,2,3.66,28.93,19.91,,,,,Splintered piece
I20-3992,RetouchedPiece,,,1-30%,Distal,Crushed,No,9,12.2,23.3,40.24,,,,,Burin
I20-3997,FlakeFrag,,Distal,1-30%,Distal,,,6,5.8,18.4,,,,,,
I20-4000,Shatter,,,0%,,,,,,,,,,,,
I20-4003,Shatter,,,1-30%,,,,,,,,,,,,
I20-4010,FlakeFrag,,Siret,0%,,,,2,3.68,19.57,,,,,,
I20-4020,Core,,,1-30%,Proximal,Cortical,YesComplete,1,20.66,23.52,45.44,Plain,0%,5,NoReason,
I20-4048,Flake,,,1-30%,RightLateral,Crushed,No,3,7.39,27.89,32.71,,,,,
I20-4052,RetouchedPiece,,,0%,,Plain,No,2,2.06,9.65,24.02,,,,,Retouched bladelet
I20-4060,RetouchedPiece,,,0%,,Removed,,3,2.72,7.01,22.28,,,,,Backed bladelet
I20-4072,RetouchedPiece,,,0%,,Removed,,1,3,5.4,22.9,,,,,Backed bladelet
I20-4084,RetouchedPiece,,,61-99%,LeftLateral,Dihedral,No,4,7.91,18.84,23.3,,,,,Notch
I20-4107,BurinSpall,,,0%,,,,4,6.3,,,,,,,
I20-4118,RetouchedPiece,,,31-60%,LeftLateral,Crushed,YesPartial,5,15.4,29.27,47.29,,,,,Splintered piece
I20-4121,Flake,,,0%,,Winged,No,4,3.9,15.1,22.7,,,,,
I20-4130,RetouchedPiece,,,1-30%,LeftLateral,Removed,,1,5.92,13.34,28.03,,,,,Retouched flake
I20-4143,FlakeFrag,,Distal,1-30%,DistalRightLat,,,4,6.72,12.93,,,,,,
I20-4171,Flake,,,0%,,Plain,No,2,5.6,33.8,53.1,,,,,
I20-4182,ElongBlank,,,0%,,Plain,No,3,4,5.4,20.6,,,,,
I20-4189,Flake,,,100%,,Plain,YesPartial,1,5,12,23,,,,,
I20-4194,Core,,,1-30%,,,,,26.1,36.13,22.83,Plain,0%,5,NaturalImperfection,
I20-4207,ElongBlank,,,31-60%,LeftLateral,Other,YesPartial,1,3.81,5.43,21.86,,,,,
I20-4226,CoreFrag,,,1-30%,RightLateral,,,4,26.25,,,,,,,
I20-4231,Flake,,,1-30%,DistalRightLat,Plain,No,4,7.1,36.5,23.7,,,,,
I20-4234,Flake,,,0%,,Crushed,No,2,5.89,14.18,24.56,,,,,
I20-4238,FlakeFrag,,Distal,1-30%,Distal,,,2,2.31,14.01,,,,,,
I21-3789,Core,,,1-30%,,,,,19.97,24.46,20.09,Other,0%,2,Hinge,
I21-3797,RetouchedPiece,,,0%,,Plain,No,5,9.83,21.31,32.8,,,,,Burin
I21-3807,Flake,,,31-60%,Distal,Plain,YesPartial,5,9.5,27.1,25.3,,,,,
I21-3820,Shatter,,,0%,,,,,,,,,,,,
I21-3828,Shatter,,,0%,,,,,,,,,,,,
I21-3832,FlakeFrag,,Distal,0%,,,,2,4.6,18.3,,,,,,
I21-3844,RetouchedPiece,,,1-30%,Proximal,Cortical,YesComplete,4,8.78,13.98,29.11,,,,,Burin
I21-3847,FlakeFrag,,Siret,31-60%,Distal,,,2,11.4,18.8,,,,,,
I21-3857,Flake,,,61-99%,LeftLateral,Dihedral,YesPartial,2,7.04,18.53,23.34,,,,,
I19-3402,Flake,,,0%,,Cortical,YesComplete,7,5.9,35.8,16.2,,,,,
I21-3860,CoreFrag,,,1-30%,Distal,,,7,21.1,,,,,,,
I21-3867,Flake,,,0%,,Dihedral,No,6,7.55,25.14,20.53,,,,,
I21-3876,Flake,,,0%,,Plain,No,2,3.99,14.19,18.37,,,,,
I21-3893,RetouchedPiece,,,1-30%,RightLateral,Cortical,YesComplete,7,11.1,25.8,29.1,,,,,Splintered piece with lateral retouch
I21-3895,Flake,,,1-30%,Proximal,Dihedral,YesPartial,5,4.1,18.9,17.5,,,,,
I21-3907,Shatter,,,0%,,,,,,,,,,,,
I21-3914,RetouchedPiece,,,1-30%,LeftLateral,Linear,No,5,9.87,24.74,24.3,,,,,Notch
I21-3936,RetouchedPiece,,,1-30%,ProxLeftLat,Crushed,YesPartial,6,7.32,20.94,30.32,,,,,Splintered piece
I21-3939,RetouchedPiece,,,0%,,Crushed,No,3,10.87,16.72,24.13,,,,,Burin on truncation
I21-3940,Shatter,,,1-30%,,,,,,,,,,,,
I21-3943,Flake,,,0%,,Plain,No,7,7.5,18.4,29.4,,,,,
I21-3955,RetouchedPiece,,,0%,,Removed,,4,6.28,14.62,43.3,,,,,Retouched blade
I21-3985,Shatter,,,1-30%,,,,,,,,,,,,
I21-4005,RetouchedPiece,,,0%,,Crushed,No,4,10.7,7.81,26.46,,,,,Multiple burin
