Angle,Observed,Calculated,Background,Dolomite_nb,Quartz_nb,Dolomite,Quartz
21.1999,1141,1057.64,653.7,0.14,403.8,653.84,1057.5
21.25,1053,962.34,654.06,0.15,308.14,654.21,962.2
21.3002,995,898.14,654.41,0.16,243.57,654.57,897.98
21.3503,952,852.93,654.75,0.17,198,654.92,852.75
21.4004,971,819.98,655.1,0.19,164.69,655.29,819.79
21.4506,925,795.27,655.43,0.22,139.62,655.65,795.05
21.5007,886,776.45,655.77,0.25,120.43,656.02,776.2
21.5508,827,761.61,656.1,0.29,105.23,656.39,761.33
21.601,802,749.84,656.42,0.35,93.08,656.77,749.5
21.6511,760,740.4,656.74,0.44,83.23,657.18,739.97
21.7013,778,732.79,657.05,0.59,75.15,657.64,732.2
21.7514,798,726.57,657.36,0.76,68.45,658.12,725.81
21.8015,746,721.52,657.66,1.01,62.85,658.67,720.51
21.8517,768,717.6,657.96,1.51,58.13,659.47,716.09
21.9018,697,714.93,658.25,2.56,54.12,660.81,712.37
21.9519,770,714.13,658.54,4.89,50.7,663.43,709.24
22.0021,755,716.26,658.82,9.67,47.77,668.49,706.59
22.0522,823,716.78,659.09,12.44,45.25,671.53,704.34
22.1024,859,711.38,659.36,8.95,43.07,668.31,702.43
22.1525,802,705.31,659.62,4.49,41.19,664.11,700.81
22.2026,710,701.73,659.88,2.29,39.57,662.17,699.45
22.2528,710,699.67,660.13,1.37,38.17,661.5,698.3
22.3029,692,698.25,660.37,0.92,36.96,661.29,697.33
22.353,668,697.19,660.6,0.68,35.91,661.28,696.51
22.4032,687,696.38,660.83,0.53,35.02,661.36,695.85
22.4533,693,695.74,661.05,0.43,34.26,661.48,695.31
22.5034,707,695.25,661.26,0.37,33.61,661.63,694.87
22.5536,651,694.87,661.47,0.33,33.08,661.8,694.55
22.6037,672,694.61,661.67,0.29,32.64,661.96,694.31
22.6539,682,694.43,661.86,0.27,32.3,662.13,694.16
22.704,657,694.34,662.05,0.26,32.03,662.31,694.08
22.7541,645,694.32,662.22,0.25,31.85,662.47,694.07
22.8043,700,694.37,662.39,0.24,31.74,662.63,694.13
22.8544,700,694.48,662.55,0.24,31.69,662.79,694.24
22.9045,675,694.65,662.71,0.23,31.71,662.94,694.42
22.9547,692,694.89,662.85,0.24,31.8,663.09,694.65
23.0048,648,695.17,662.99,0.24,31.94,663.23,694.93
23.055,634,695.51,663.12,0.25,32.14,663.37,695.26
23.1051,666,695.9,663.24,0.26,32.4,663.5,695.64
23.1552,644,696.34,663.36,0.27,32.71,663.63,696.07
23.2054,654,696.83,663.46,0.29,33.09,663.75,696.55
23.2555,665,697.38,663.56,0.31,33.51,663.87,697.07
23.3056,685,697.97,663.65,0.33,33.99,663.98,697.64
23.3558,644,698.62,663.73,0.36,34.53,664.09,698.26
23.4059,603,699.33,663.8,0.4,35.12,664.2,698.92
23.4561,655,700.09,663.87,0.45,35.78,664.32,699.65
23.5062,642,700.92,663.92,0.52,36.48,664.44,700.4
23.5563,659,701.82,663.97,0.6,37.25,664.57,701.22
23.6065,693,702.8,664.01,0.71,38.08,664.72,702.09
23.6566,626,703.88,664.04,0.87,38.98,664.91,703.02
23.7067,615,705.08,664.06,1.09,39.94,665.15,704
23.7569,625,706.45,664.07,1.42,40.96,665.49,705.03
23.807,667,708.24,664.07,1.96,42.21,666.03,706.28
23.8572,698,712.28,664.07,2.88,45.33,666.95,709.4
23.9073,728,722.33,664.06,4.65,53.63,668.71,717.69
23.9574,718,749.96,664.03,8.34,77.59,672.37,741.62
24.0076,841,816.46,664,16.67,135.79,680.67,799.79
24.0577,803,856.8,663.96,29.56,163.27,693.52,827.23
24.1078,737,810.11,663.91,28.52,117.68,692.43,781.59
24.158,683,770.35,663.86,17.95,88.54,681.81,752.4
24.2081,659,748.29,663.79,8.7,75.8,672.49,739.59
24.2582,708,738.43,663.72,4.64,70.07,668.36,733.79
24.3084,687,734.08,663.63,2.85,67.59,666.48,731.22
24.3585,719,732.32,663.54,1.94,66.84,665.48,730.38
24.4087,677,732.01,663.44,1.41,67.15,664.85,730.59
24.4588,671,732.6,663.33,1.09,68.18,664.42,731.51
24.5089,644,733.84,663.21,0.87,69.76,664.08,732.97
24.5591,690,735.57,663.08,0.72,71.77,663.8,734.85
