Angle,Observed,Calculated,Background,Quartz_nb,Quartz
12.5763,767,783.21,780.78,2.43,783.21
12.6264,794,779.62,777.17,2.45,779.62
12.6766,831,776.07,773.6,2.47,776.07
12.7267,717,772.54,770.05,2.49,772.54
12.7768,789,769.04,766.53,2.51,769.04
12.827,799,765.57,763.04,2.53,765.57
12.8771,792,762.14,759.58,2.55,762.13
12.9273,750,758.73,756.15,2.58,758.73
12.9774,821,755.35,752.76,2.6,755.36
13.0275,741,752.01,749.39,2.62,752.01
13.0777,752,748.7,746.06,2.64,748.7
13.1278,690,745.42,742.76,2.67,745.43
13.1779,767,742.18,739.49,2.69,742.18
13.2281,724,738.97,736.25,2.71,738.96
13.2782,718,735.79,733.05,2.74,735.79
13.3284,730,732.65,729.89,2.76,732.65
13.3785,744,729.54,726.76,2.79,729.55
13.4286,747,726.47,723.66,2.81,726.47
13.4788,759,723.43,720.6,2.84,723.44
13.5289,743,720.43,717.57,2.86,720.43
13.579,705,717.47,714.58,2.89,717.47
13.6292,662,714.54,711.62,2.92,714.54
13.6793,746,711.65,708.7,2.94,711.64
13.7294,738,708.79,705.82,2.97,708.79
13.7796,692,705.97,702.97,3,705.97
13.8297,725,703.19,700.16,3.03,703.19
13.8799,706,700.45,697.39,3.06,700.45
13.93,730,697.74,694.65,3.09,697.74
13.9801,640,695.07,691.95,3.12,695.07
14.0303,668,692.44,689.29,3.15,692.44
14.0804,697,689.84,686.66,3.18,689.84
14.1305,690,687.29,684.08,3.21,687.29
14.1807,737,684.77,681.53,3.24,684.77
14.2308,648,682.29,679.01,3.27,682.28
14.281,690,679.84,676.54,3.31,679.85
14.3311,683,677.44,674.1,3.34,677.44
14.3812,697,675.07,671.69,3.38,675.07
14.4314,652,672.74,669.33,3.41,672.74
14.4815,677,670.45,667,3.45,670.45
14.5316,652,668.19,664.71,3.48,668.19
14.5818,667,665.98,662.46,3.52,665.98
14.6319,639,663.8,660.24,3.56,663.8
14.6821,680,661.66,658.06,3.6,661.66
14.7322,671,659.55,655.92,3.63,659.55
14.7823,662,657.49,653.81,3.67,657.48
14.8325,660,655.46,651.74,3.71,655.45
14.8826,641,653.47,649.71,3.76,653.47
14.9327,642,651.51,647.72,3.8,651.52
14.9829,626,649.6,645.75,3.84,649.59
15.033,633,647.72,643.83,3.89,647.72
15.0832,645,645.87,641.94,3.93,645.87
15.1333,634,644.06,640.09,3.98,644.07
15.1834,708,642.29,638.27,4.02,642.29
15.2336,714,640.56,636.49,4.07,640.56
15.2837,577,638.86,634.74,4.12,638.86
15.3338,582,637.19,633.03,4.17,637.2
15.384,627,635.57,631.35,4.22,635.57
15.4341,633,633.97,629.7,4.27,633.97
15.4842,662,632.42,628.09,4.32,632.41
15.5344,643,630.89,626.52,4.38,630.9
15.5845,599,629.41,624.98,4.43,629.41
15.6347,604,627.95,623.47,4.49,627.96
15.6848,613,626.53,621.99,4.55,626.54
15.7349,645,625.15,620.54,4.61,625.15
15.7851,664,623.8,619.13,4.67,623.8
15.8352,632,622.48,617.75,4.73,622.48
15.8853,599,621.2,616.4,4.79,621.19
15.9355,602,619.94,615.09,4.86,619.95
15.9856,612,618.73,613.8,4.92,618.72
16.0358,606,617.54,612.55,4.99,617.54
16.0859,555,616.38,611.32,5.06,616.38
16.136,634,615.26,610.13,5.13,615.26
16.1862,633,614.17,608.97,5.21,614.18
16.2363,600,613.11,607.83,5.28,613.11
16.2864,623,612.09,606.73,5.36,612.09
16.3366,576,611.09,605.65,5.44,611.09
16.3867,602,610.12,604.6,5.52,610.12
16.4369,626,609.19,603.58,5.6,609.18
16.487,592,608.28,602.59,5.69,608.28
16.5371,635,607.4,601.63,5.78,607.41
16.5873,611,606.56,600.69,5.87,606.56
16.6374,589,605.74,599.78,5.96,605.74
16.6875,672,604.95,598.89,6.06,604.95
16.7377,628,604.19,598.03,6.16,604.19
16.7878,582,603.46,597.2,6.26,603.46
16.838,612,602.76,596.39,6.37,602.76
16.8881,553,602.09,595.61,6.48,602.09
16.9382,600,601.45,594.85,6.59,601.44
16.9884,512,600.83,594.12,6.71,600.83
17.0385,617,600.24,593.41,6.83,600.24
17.0886,561,599.67,592.72,6.95,599.67
17.1388,566,599.14,592.06,7.08,599.14
17.1889,585,598.63,591.42,7.21,598.63
17.239,627,598.15,590.8,7.35,598.15
17.2892,598,597.7,590.21,7.49,597.7
17.3393,596,597.27,589.63,7.64,597.27
17.3895,556,596.87,589.08,7.79,596.87
17.4396,557,596.5,588.54,7.95,596.49
17.4897,593,596.15,588.03,8.12,596.15
17.5399,600,595.83,587.54,8.29,595.83
17.59,620,595.54,587.07,8.47,595.54
17.6401,564,595.27,586.62,8.65,595.27
17.6903,588,595.03,586.18,8.85,595.03
17.7404,578,594.82,585.77,9.05,594.82
17.7906,582,594.63,585.37,9.26,594.63
17.8407,554,594.47,584.99,9.48,594.47
17.8908,576,594.34,584.63,9.71,594.34
17.941,527,594.24,584.29,9.95,594.24
17.9911,555,594.16,583.96,10.2,594.16
18.0412,575,594.12,583.65,10.47,594.12
18.0914,575,594.1,583.36,10.75,594.11
18.1415,555,594.11,583.08,11.04,594.12
18.1917,576,594.15,582.81,11.34,594.15
18.2418,617,594.23,582.57,11.66,594.23
18.2919,613,594.34,582.33,12,594.33
18.3421,604,594.48,582.11,12.36,594.47
18.3922,581,594.65,581.91,12.74,594.65
18.4423,607,594.86,581.72,13.14,594.86
18.4925,554,595.11,581.54,13.57,595.11
18.5426,618,595.4,581.38,14.02,595.4
18.5928,543,595.73,581.22,14.51,595.73
18.6429,538,596.17,581.09,15.09,596.18
18.693,571,597.47,580.96,16.51,597.47
18.7432,600,601.52,580.84,20.67,601.51
18.7933,605,612.69,580.74,31.95,612.69
18.8434,641,623.55,580.65,42.9,623.55
18.8936,669,614.26,580.56,33.7,614.26
18.9437,607,607.19,580.49,26.69,607.18
18.9938,583,604.48,580.43,24.05,604.48
19.044,589,603.54,580.38,23.17,603.55
19.0941,597,603.42,580.34,23.08,603.42
19.1443,631,603.74,580.3,23.43,603.73
19.1944,620,604.35,580.28,24.07,604.35
19.2445,643,605.18,580.26,24.91,605.17
19.2947,707,606.2,580.26,25.94,606.2
19.3448,675,607.4,580.26,27.14,607.4
19.3949,673,608.77,580.27,28.51,608.78
19.4451,630,610.32,580.28,30.04,610.32
19.4952,634,612.09,580.31,31.79,612.1
19.5454,641,614.08,580.34,33.75,614.09
19.5955,665,616.33,580.37,35.96,616.33
19.6456,685,618.86,580.42,38.45,618.87
19.6958,632,621.73,580.47,41.27,621.74
19.7459,728,625,580.52,44.47,624.99
19.796,761,628.72,580.58,48.14,628.72
19.8462,687,633,580.65,52.35,633
19.8963,732,637.94,580.72,57.22,637.94
19.9465,672,643.7,580.79,62.9,643.69
19.9966,782,650.45,580.87,69.58,650.45
20.0467,765,658.46,580.96,77.5,658.46
20.0969,798,667.94,581.05,86.89,667.94
20.147,843,679.53,581.14,98.39,679.53
20.1971,882,693.77,581.24,112.54,693.78
20.2473,852,711.55,581.34,130.21,711.55
20.2974,918,734.15,581.44,152.71,734.15
20.3476,914,763.52,581.54,181.97,763.51
20.3977,945,802.66,581.65,221.01,802.66
20.4478,1020,856.5,581.76,274.73,856.49
20.498,980,933.45,581.88,351.57,933.45
20.5481,1182,1048.95,581.99,466.96,1048.95
20.5982,1383,1233.58,582.11,651.48,1233.59
20.6484,1733,1553.82,582.23,971.59,1553.82
20.6985,2495,2167.68,582.34,1585.34,2167.68
20.7486,3948,3464.99,582.47,2882.52,3464.99
20.7988,7013,6252.81,582.59,5670.23,6252.82
20.8489,11015,10367.93,582.71,9785.22,10367.93
20.8991,10557,9992.91,582.83,9410.07,9992.9
20.9492,6436,6147.39,582.96,5564.43,6147.39
20.9993,3256,3291.09,583.08,2708.01,3291.09
21.0495,2027,2057.15,583.2,1473.94,2057.14
21.0996,1433,1496.31,583.33,912.98,1496.31
21.1497,1258,1203.31,583.45,619.86,1203.31
21.1999,1101,1032.53,583.57,448.95,1032.52
21.25,1022,924.67,583.7,340.98,924.68
21.3002,952,852.35,583.82,268.54,852.36
21.3503,981,801.58,583.94,217.64,801.58
21.4004,877,764.61,584.06,180.55,764.61
21.4506,856,736.89,584.17,152.72,736.89
21.5007,885,715.76,584.29,131.47,715.76
21.5508,733,699.05,584.41,114.64,699.05
21.601,730,685.74,584.52,101.22,685.74
21.6511,712,674.98,584.63,90.35,674.98
21.7013,714,666.18,584.74,81.44,666.18
21.7514,697,658.91,584.85,74.06,658.91
21.8015,706,652.84,584.95,67.89,652.84
21.8517,675,647.74,585.05,62.69,647.74
21.9018,683,643.42,585.15,58.27,643.42
21.9519,702,639.75,585.25,54.5,639.75
22.0021,696,636.62,585.34,51.27,636.61
22.0522,759,633.93,585.43,48.49,633.92
22.1024,794,631.61,585.52,46.09,631.61
22.1525,741,629.62,585.61,44.02,629.63
22.2026,635,627.9,585.69,42.22,627.91
22.2528,673,626.44,585.77,40.67,626.44
22.3029,662,625.16,585.84,39.32,625.16
22.353,662,624.07,585.91,38.15,624.06
22.4032,634,623.13,585.98,37.15,623.13
22.4533,639,622.34,586.04,36.29,622.33
22.5034,641,621.67,586.1,35.57,621.67
22.5536,642,621.11,586.16,34.96,621.12
22.6037,628,620.66,586.21,34.45,620.66
22.6539,595,620.3,586.26,34.05,620.31
22.704,661,620.03,586.3,33.73,620.03
22.7541,671,619.84,586.34,33.5,619.84
22.8043,625,619.72,586.37,33.34,619.71
22.8544,581,619.66,586.4,33.26,619.66
22.9045,606,619.68,586.43,33.25,619.68
22.9547,571,619.75,586.45,33.31,619.76
23.0048,617,619.89,586.46,33.43,619.89
23.055,570,620.08,586.47,33.61,620.08
23.1051,559,620.33,586.48,33.85,620.33
23.1552,580,620.63,586.48,34.15,620.63
23.2054,560,620.99,586.47,34.51,620.98
23.2555,573,621.4,586.47,34.93,621.4
23.3056,604,621.86,586.45,35.41,621.86
23.3558,592,622.38,586.43,35.94,622.37
23.4059,589,622.95,586.41,36.54,622.95
23.4561,605,623.57,586.38,37.19,623.57
23.5062,588,624.25,586.34,37.91,624.25
23.5563,544,624.99,586.3,38.69,624.99
23.6065,540,625.78,586.25,39.53,625.78
23.6566,569,626.64,586.2,40.43,626.63
23.7067,583,627.55,586.15,41.41,627.56
23.7569,550,628.53,586.08,42.45,628.53
23.807,569,629.69,586.01,43.68,629.69
23.8572,609,632.62,585.94,46.68,632.62
23.9073,679,640.65,585.86,54.79,640.65
23.9574,658,664.82,585.77,79.04,664.81
24.0076,734,730.38,585.68,144.7,730.38
24.0577,793,771.44,585.59,185.85,771.44
24.1078,652,715.08,585.48,129.6,715.08
24.158,651,679.56,585.37,94.18,679.55
24.2081,657,664.66,585.26,79.4,664.66
24.2582,589,658.02,585.14,72.88,658.02
24.3084,609,655.06,585.01,70.04,655.05
24.3585,571,654,584.88,69.12,654
24.4087,584,654.08,584.74,69.34,654.08
24.4588,605,654.93,584.6,70.33,654.93
24.5089,583,656.35,584.45,71.9,656.35
24.5591,558,658.22,584.29,73.93,658.22
24.6092,614,660.51,584.13,76.38,660.51
24.6593,638,663.19,583.97,79.22,663.19
24.7095,564,666.23,583.79,82.44,666.23
24.7596,598,669.65,583.61,86.04,669.65
24.8098,611,673.46,583.43,90.03,673.46
24.8599,584,677.68,583.23,94.45,677.68
24.91,668,682.36,583.04,99.32,682.36
24.9602,588,687.52,582.83,104.69,687.52
25.0103,605,693.23,582.62,110.61,693.23
25.0604,639,699.54,582.41,117.13,699.54
25.1106,635,706.53,582.19,124.34,706.53
25.1607,591,714.28,581.96,132.32,714.28
25.2109,615,722.9,581.73,141.18,722.91
25.261,633,732.51,581.49,151.03,732.52
25.3111,656,743.26,581.24,162.02,743.26
25.3613,675,755.32,580.99,174.34,755.33
25.4114,723,768.8,580.73,188.07,768.8
25.4615,735,784.17,580.47,203.7,784.17
25.5117,732,801.63,580.2,221.44,801.64
25.5618,808,821.6,579.92,241.67,821.59
25.612,833,844.55,579.64,264.9,844.54
25.6621,1056,871.09,579.36,291.74,871.1
25.7122,1224,902.02,579.06,322.96,902.02
25.7624,1346,938.34,578.77,359.57,938.34
25.8125,1343,981.35,578.46,402.89,981.35
25.8626,1286,1032.81,578.15,454.66,1032.81
25.9128,1317,1095.06,577.84,517.22,1095.06
25.9629,1365,1171.32,577.51,593.8,1171.31
26.013,1473,1266.11,577.19,688.93,1266.12
26.0632,1401,1385.96,576.85,809.1,1385.95
26.1133,1652,1540.49,576.52,963.98,1540.5
26.1635,1702,1744.52,576.17,1168.34,1744.51
26.2136,1900,2021.62,575.82,1445.8,2021.62
26.2637,2202,2407.33,575.47,1831.87,2407.34
26.3139,2481,2977.77,575.11,2402.66,2977.77
26.364,3220,3863.07,574.74,3288.33,3863.07
26.4141,4574,5336.84,574.37,4762.47,5336.84
26.4643,7090,7998.15,573.99,7424.16,7998.15
