Angle,Observed,Calculated,Background,Calcite_nb,SiO2_nb,Calcite,SiO2
24.8599,554,640.82,564.9,2.29,73.64,567.19,638.54
24.91,555,644.24,564.53,2.3,77.42,566.83,641.95
24.9602,591,648.05,564.17,2.3,81.58,566.47,645.75
25.0103,587,652.28,563.79,2.31,86.17,566.1,649.96
25.0604,611,656.97,563.41,2.32,91.24,565.73,654.65
25.1106,603,662.2,563.03,2.34,96.82,565.37,659.85
25.1607,600,668.01,562.64,2.36,103.01,565,665.65
25.2109,619,674.5,562.25,2.38,109.86,564.63,672.11
25.261,610,681.75,561.85,2.41,117.49,564.26,679.34
25.3111,625,689.88,561.45,2.44,125.99,563.89,687.44
25.3613,593,699.03,561.04,2.47,135.51,563.51,696.55
25.4114,616,709.26,560.63,2.51,146.12,563.14,706.75
25.4615,664,720.94,560.21,2.54,158.18,562.75,718.39
25.5117,701,734.24,559.79,2.59,171.86,562.38,731.65
25.5618,681,749.45,559.36,2.63,187.46,561.99,746.82
25.612,773,766.94,558.93,2.68,205.33,561.61,764.26
25.6621,800,787.18,558.5,2.73,225.96,561.23,784.46
25.7122,986,810.77,558.06,2.78,249.93,560.84,807.99
25.7624,1130,838.45,557.61,2.84,278,560.45,835.61
25.8125,1125,871.22,557.16,2.9,311.16,560.06,868.32
25.8626,1118,910.39,556.71,2.96,350.72,559.67,907.43
25.9128,1136,957.7,556.25,3.03,398.43,559.28,954.68
25.9629,1128,1015.57,555.78,3.1,456.68,558.88,1012.46
26.013,1186,1087.34,555.32,3.18,528.85,558.5,1084.17
26.0632,1285,1177.84,554.85,3.25,619.74,558.1,1174.59
26.1133,1345,1294.13,554.37,3.34,736.42,557.71,1290.79
26.1635,1532,1447,553.89,3.43,889.68,557.32,1443.57
26.2136,1606,1653.51,553.41,3.52,1096.58,556.93,1649.99
26.2637,1796,1938.99,552.92,3.62,1382.45,556.54,1935.37
26.3139,2334,2357.36,552.42,3.74,1801.2,556.16,2353.62
26.364,2949,2998.85,551.93,4.01,2442.91,555.94,2994.84
26.4141,4030,4049.34,551.43,4.61,3493.3,556.04,4044.73
26.4643,6156,5907.22,550.92,5.97,5350.32,556.89,5901.24
26.5144,9911,9449.02,550.42,8.65,8889.95,559.07,9440.37
26.5646,17608,16756.41,549.9,11.07,16195.43,560.97,16745.33
26.6147,31837,31354.49,549.39,10.23,30794.87,559.62,31344.26
26.6648,44024,41893.26,548.87,8.4,41335.99,557.27,41884.86
26.715,36067,34400.75,548.35,7.22,33845.18,555.57,34393.53
26.7651,21353,20752.67,547.82,6.59,20198.26,554.41,20746.08
26.8152,10456,10957.56,547.29,6.27,10404,553.56,10951.29
26.8654,5587,6476.59,546.76,6.13,5923.71,552.89,6470.47
26.9155,3582,4321.73,546.22,6.09,3769.42,552.31,4315.64
26.9657,2481,3151.6,545.68,6.13,2599.8,551.81,3145.48
27.0158,1942,2450.59,545.13,6.22,1899.23,551.35,2444.36
27.0659,1633,1998.56,544.59,6.35,1447.62,550.94,1992.21
27.1161,1446,1690.39,544.04,6.51,1139.84,550.55,1683.88
27.1662,1319,1471.96,543.48,6.71,921.77,550.19,1465.25
27.2163,1201,1309.94,542.93,6.93,760.09,549.86,1303.02
27.2665,1098,1187.09,542.37,7.18,637.54,549.55,1179.91
27.3166,1057,1091.72,541.8,7.46,542.45,549.26,1084.25
27.3668,999,1016.2,541.24,7.77,467.19,549.01,1008.43
27.4169,920,955.38,540.67,8.1,406.61,548.77,947.28
27.467,923,905.68,540.1,8.47,357.11,548.57,897.21
27.5172,873,864.55,539.52,8.87,316.16,548.39,855.68
27.5673,847,830.14,538.94,9.3,281.9,548.24,820.84
27.6174,825,801.07,538.36,9.77,252.93,548.13,791.29
27.6676,827,776.3,537.78,10.29,228.23,548.07,766.01
27.7177,774,755.05,537.2,10.85,207,548.05,744.2
27.7678,787,736.69,536.61,11.47,188.61,548.08,725.22
27.818,751,720.74,536.02,12.15,172.58,548.17,708.6
27.8681,846,706.84,535.42,12.89,158.53,548.31,693.95
27.9183,758,694.66,534.83,13.7,146.13,548.53,680.96
27.9684,772,683.98,534.23,14.6,135.15,548.83,669.38
28.0185,748,674.6,533.63,15.6,125.37,549.23,659
28.0687,733,666.4,533.03,16.7,116.67,549.73,649.7
28.1188,738,659.16,532.42,17.93,108.81,550.35,641.23
28.1689,729,652.86,531.82,19.3,101.73,551.12,633.55
28.2191,740,647.4,531.21,20.85,95.33,552.06,626.54
28.2692,714,642.73,530.6,22.61,89.52,553.21,620.12
28.3194,728,638.84,529.98,24.61,84.24,554.59,614.22
28.3695,768,635.69,529.37,26.91,79.42,556.28,608.79
28.4196,719,633.26,528.75,29.5,75,558.25,603.75
28.4698,709,631.54,528.13,32.45,70.96,560.58,599.09
28.5199,703,630.64,527.51,35.9,67.23,563.41,594.74
28.57,747,630.64,526.89,39.94,63.81,566.83,590.7
28.6202,717,631.64,526.27,44.73,60.64,571,586.91
28.6703,767,633.8,525.64,50.45,57.71,576.09,583.35
28.7205,756,637.36,525.01,57.35,54.99,582.36,580
28.7706,795,642.64,524.39,65.79,52.47,590.18,576.86
28.8207,816,650.12,523.76,76.24,50.13,600,573.89
28.8709,774,660.47,523.12,89.4,47.94,612.52,571.06
28.921,826,674.69,522.49,106.3,45.91,628.79,568.4
28.9711,834,694.14,521.86,128.27,44.01,650.13,565.87
29.0213,844,721.51,521.22,158.06,42.23,679.28,563.45
29.0714,944,760.56,520.58,199.42,40.56,720,561.14
29.1216,953,817.97,519.94,259.03,39,778.97,558.94
29.1717,994,905.57,519.3,348.73,37.53,868.03,556.83
29.2218,1131,1045.11,518.66,490.3,36.15,1008.96,554.81
29.272,1345,1276.73,518.02,723.86,34.85,1241.88,552.87
29.3221,1650,1673.64,517.38,1122.63,33.63,1640.01,551.01
29.3722,2159,2344.68,516.74,1795.46,32.48,2312.2,549.22
29.4224,3062,3192.42,516.09,2644.94,31.4,3161.03,547.49
29.4725,3433,3486.07,515.45,2940.25,30.37,3455.7,545.82
29.5226,2974,3019.32,514.8,2475.12,29.4,2989.92,544.2
29.5728,2192,2242.44,514.15,1699.8,28.49,2213.95,542.64
29.6229,1660,1597.43,513.5,1056.3,27.62,1569.8,541.12
29.6731,1249,1212.5,512.85,672.84,26.8,1185.69,539.65
29.7232,1036,993.38,512.21,455.15,26.03,967.36,538.24
29.7733,1029,862.33,511.56,325.48,25.29,837.04,536.85
29.8235,871,778.89,510.9,243.4,24.59,754.3,535.49
29.8736,812,722.73,510.25,188.55,23.92,698.8,534.17
29.9237,745,683.13,509.6,150.24,23.29,659.84,532.89
29.9739,728,654.24,508.95,122.61,22.68,631.56,531.63
30.024,698,632.24,508.3,101.85,22.1,610.15,530.4
30.0742,650,615.13,507.64,85.95,21.54,593.59,529.18
30.1243,625,601.51,506.99,73.51,21,580.5,527.99
30.1744,591,590.42,506.34,63.61,20.48,569.95,526.82
30.2246,621,581.25,505.68,55.59,19.97,561.27,525.65
30.2747,616,573.52,505.03,49.02,19.47,554.05,524.5
30.3248,618,566.92,504.38,43.57,18.97,547.95,523.35
30.375,599,561.23,503.72,39,18.5,542.72,522.22
30.4251,570,556.25,503.07,35.14,18.05,538.21,521.12
30.4753,592,551.87,502.41,31.84,17.62,534.25,520.03
30.5254,586,547.98,501.76,29.02,17.2,530.78,518.96
30.5755,577,544.49,501.11,26.58,16.8,527.69,517.91
30.6257,572,541.34,500.45,24.46,16.42,524.91,516.87
30.6758,588,538.48,499.8,22.63,16.06,522.43,515.86
30.7259,550,535.88,499.14,21.03,15.71,520.17,514.85
30.7761,551,533.5,498.49,19.64,15.37,518.13,513.86
30.8262,539,531.32,497.84,18.44,15.05,516.28,512.89
30.8764,520,529.33,497.18,17.41,14.73,514.59,511.91
30.9265,519,527.51,496.53,16.54,14.44,513.07,510.97
30.9766,581,525.88,495.88,15.85,14.15,511.73,510.03
31.0268,606,524.43,495.22,15.33,13.88,510.55,509.1
31.0769,537,523.21,494.57,15.02,13.61,509.59,508.18
31.127,539,522.26,493.92,14.98,13.36,508.9,507.28
31.1772,583,521.7,493.27,15.32,13.11,508.59,506.38
31.2273,556,521.74,492.62,16.25,12.88,508.87,505.5
31.2774,577,522.75,491.97,18.13,12.65,510.1,504.62
31.3276,535,525.42,491.32,21.67,12.43,512.99,503.75
31.3777,532,531.02,490.67,28.12,12.22,518.79,502.89
31.4279,558,540.77,490.02,38.72,12.02,528.74,502.04
31.478,632,549.79,489.38,48.58,11.83,537.96,501.21
31.5281,569,548.07,488.73,47.7,11.64,536.43,500.37
31.5783,564,538.57,488.08,39.03,11.46,527.11,499.54
31.6284,480,526.78,487.44,28.05,11.29,515.49,498.73
31.6785,499,517.82,486.79,19.9,11.12,506.69,497.91
31.7287,512,512.17,486.15,15.05,10.97,501.2,497.12
31.7788,501,508.49,485.51,12.17,10.81,497.68,496.32
31.829,439,505.86,484.87,10.32,10.67,495.19,495.54
31.8791,455,503.82,484.23,9.07,10.53,493.3,494.76
31.9292,494,502.13,483.59,8.15,10.39,491.74,493.98
31.9794,459,500.67,482.95,7.46,10.26,490.41,493.21
32.0295,508,499.36,482.31,6.91,10.14,489.22,492.45
32.0796,487,498.16,481.67,6.47,10.02,488.14,491.69
32.1298,494,497.03,481.04,6.09,9.91,487.13,490.95
32.1799,460,495.97,480.4,5.77,9.8,486.17,490.2
32.2301,486,494.97,479.77,5.51,9.7,485.28,489.47
32.2802,503,494.03,479.14,5.29,9.6,484.43,488.74
32.3303,489,493.16,478.5,5.15,9.51,483.65,488.01
32.3805,471,492.41,477.87,5.11,9.42,482.98,487.29
32.4306,450,491.79,477.25,5.21,9.33,482.46,486.58
32.4807,483,491.05,476.62,5.17,9.26,481.79,485.88
