Sample,Phase,Angle,Intensity,d
SP69,Calcite,48.6249,751,1.87
SP69,SiO2,50.1792,3637,1.82
SP69,SiO2,54.8419,1564.78,
SP69,SiO2,59.9559,2068.85,
SP69,SiO2,68.2787,2571.67,1.37
SP63,SiO2,20.8991,11654,4.25
SP63,SiO2,26.6648,61945,3.34
SP63,SiO2,36.592,3293,
SP63,SiO2,39.4999,3881,2.28
SP63,SiO2,40.3523,1629,
SP63,SiO2,42.458,2499.15,
SP63,SiO2,45.8172,1943.04,
SP63,SiO2,50.1792,5102,1.82
SP63,SiO2,54.892,2080.64,
SP63,SiO2,60.006,3073.31,
SP63,SiO2,68.3288,3443.34,1.37
SP66,SiO2,20.8991,11791,4.25
SP66,SiO2,26.6648,62120,3.34
SP66,SiO2,36.592,3313,
SP66,SiO2,39.4999,3839,2.28
SP66,SiO2,40.3523,1627,
SP66,SiO2,42.458,2453.12,
SP66,SiO2,45.8172,1933.12,
SP66,SiO2,50.1792,5084,1.82
SP66,SiO2,54.892,2063.19,
SP66,SiO2,60.006,3089.62,
SP66,SiO2,68.3288,3433.58,1.37
