Angle,Observed,Calculated,Background,Quartz_nb,Calcite_nb,Quartz,Calcite
20.2925,860,745.94,570.05,175.84,0.05,745.89,570.1
20.3437,857,779.97,569.95,209.97,0.05,779.92,570
20.3949,977,825.57,569.85,255.67,0.06,825.52,569.91
20.446,943,888.48,569.76,318.67,0.06,888.43,569.82
20.4972,1158,979.08,569.68,409.34,0.06,979.02,569.74
20.5483,1158,1115.55,569.6,545.89,0.06,1115.49,569.66
20.5995,1498,1335.35,569.52,765.77,0.06,1335.29,569.58
20.6507,1871,1718.41,569.45,1148.9,0.06,1718.35,569.51
20.7018,2684,2449.7,569.38,1880.26,0.07,2449.64,569.45
20.753,4437,3969.5,569.31,3400.11,0.07,3969.42,569.38
20.8041,7462,7005.8,569.25,6436.46,0.09,7005.71,569.34
20.8553,10513,10490.46,569.19,9921.16,0.11,10490.35,569.3
20.9065,9324,9333.77,569.14,8764.52,0.11,9333.66,569.25
20.9576,5389,5639.83,569.08,5070.65,0.1,5639.73,569.18
21.0088,2856,3162.55,569.03,2593.42,0.09,3162.45,569.12
21.06,1878,2044.34,568.99,1475.27,0.09,2044.26,569.08
21.1111,1383,1508.75,568.94,939.72,0.09,1508.66,569.03
21.1623,1132,1218.13,568.9,649.15,0.09,1218.05,568.99
21.2134,1044,1045.03,568.85,476.09,0.09,1044.94,568.94
21.2646,986,933.67,568.81,364.76,0.09,933.57,568.9
21.3158,929,858.09,568.77,289.23,0.09,858,568.86
21.3669,886,804.63,568.74,235.79,0.1,804.53,568.84
21.4181,849,765.31,568.7,196.51,0.1,765.21,568.8
21.4692,843,735.7,568.66,166.93,0.1,735.59,568.76
21.5204,797,712.94,568.63,144.2,0.11,712.83,568.74
21.5716,724,694.86,568.59,126.16,0.11,694.75,568.7
21.6227,667,680.42,568.56,111.74,0.12,680.3,568.68
21.6739,713,668.67,568.52,100.02,0.13,668.54,568.65
21.725,738,659.04,568.49,90.42,0.13,658.91,568.62
21.7762,629,651.03,568.46,82.43,0.14,650.89,568.6
21.8274,673,644.32,568.42,75.75,0.15,644.17,568.57
21.8785,674,638.67,568.39,70.12,0.16,638.51,568.55
21.9297,694,633.86,568.35,65.34,0.17,633.69,568.52
21.9809,673,629.75,568.32,61.26,0.18,629.58,568.5
22.032,778,626.24,568.28,57.77,0.19,626.05,568.47
22.0832,825,623.21,568.24,54.76,0.21,623,568.45
22.1343,748,620.6,568.2,52.17,0.23,620.37,568.43
22.1855,723,618.34,568.16,49.93,0.25,618.09,568.41
22.2367,650,616.41,568.12,48.02,0.27,616.14,568.39
22.2878,677,614.73,568.08,46.35,0.3,614.43,568.38
22.339,606,613.28,568.04,44.91,0.33,612.95,568.37
22.3901,621,612.04,567.99,43.68,0.37,611.67,568.36
22.4413,603,610.99,567.94,42.62,0.42,610.56,568.36
22.4925,591,610.11,567.89,41.73,0.49,609.62,568.38
22.5436,607,609.39,567.84,40.98,0.57,608.82,568.41
22.5948,602,608.83,567.79,40.37,0.67,608.16,568.46
22.6459,543,608.41,567.73,39.87,0.81,607.6,568.54
22.6971,596,608.15,567.68,39.48,0.99,607.16,568.67
22.7483,644,608.07,567.61,39.2,1.26,606.81,568.87
22.7994,597,608.21,567.55,39.01,1.64,606.56,569.19
22.8506,594,608.64,567.49,38.91,2.24,606.4,569.73
22.9018,578,609.54,567.42,38.9,3.23,606.32,570.65
22.9529,635,611.24,567.35,38.97,4.92,606.32,572.27
23.0041,564,614.28,567.27,39.11,7.9,606.38,575.17
23.0552,545,619.27,567.19,39.33,12.75,606.52,579.94
23.1064,589,624.13,567.11,39.62,17.4,606.73,584.51
23.1576,595,623.75,567.03,39.99,16.74,607.02,583.77
23.2087,581,619.26,566.94,40.42,11.9,607.36,578.84
23.2599,583,615.05,566.85,40.93,7.27,607.78,574.12
23.311,573,612.75,566.76,41.51,4.49,608.27,571.25
23.3622,549,611.78,566.66,42.15,2.96,608.81,569.62
23.4134,546,611.52,566.56,42.88,2.09,609.44,568.65
23.4645,563,611.67,566.45,43.67,1.55,610.12,568
23.5157,546,612.08,566.35,44.54,1.2,610.89,567.55
23.5668,561,612.67,566.23,45.48,0.96,611.71,567.19
23.618,582,613.4,566.12,46.5,0.79,612.62,566.91
23.6692,591,614.26,566,47.6,0.66,613.6,566.66
23.7203,611,615.22,565.87,48.78,0.57,614.65,566.44
23.7715,592,616.29,565.75,50.05,0.49,615.8,566.24
