Angle,Observed,Calculated,Background,Quartz_nb,Calcite_bn,Quartz,Calcite
11.2226,961,934.86,932.79,2.05,0.02,934.84,932.81
11.2727,922,930.06,927.97,2.07,0.02,930.04,927.99
11.3229,943,925.29,923.19,2.08,0.02,925.27,923.21
11.373,956,920.55,918.43,2.1,0.02,920.53,918.45
11.4231,929,915.85,913.72,2.11,0.02,915.83,913.74
11.4733,937,911.18,909.03,2.13,0.02,911.16,909.05
11.5234,944,906.55,904.38,2.14,0.02,906.52,904.4
11.5736,933,901.95,899.77,2.16,0.02,901.93,899.79
11.6237,940,897.39,895.19,2.18,0.02,897.37,895.21
11.6738,885,892.86,890.65,2.19,0.02,892.84,890.67
11.724,866,888.38,886.15,2.21,0.02,888.36,886.17
11.7741,902,883.93,881.68,2.23,0.02,883.91,881.7
11.8242,901,879.52,877.26,2.24,0.02,879.5,877.28
11.8744,912,875.15,872.87,2.26,0.02,875.13,872.89
11.9245,885,870.82,868.53,2.28,0.02,870.81,868.55
11.9746,891,866.54,864.22,2.29,0.02,866.51,864.24
12.0248,860,862.29,859.96,2.31,0.02,862.27,859.98
12.0749,858,858.09,855.74,2.33,0.02,858.07,855.76
12.1251,855,853.93,851.56,2.35,0.02,853.91,851.58
12.1752,903,849.81,847.43,2.37,0.02,849.8,847.45
12.2253,905,845.74,843.34,2.38,0.02,845.72,843.36
12.2755,844,841.71,839.29,2.4,0.02,841.69,839.31
12.3256,794,837.73,835.29,2.42,0.02,837.71,835.31
12.3757,834,833.79,831.33,2.44,0.02,833.77,831.35
12.4259,863,829.9,827.42,2.46,0.02,829.88,827.44
12.476,881,826.05,823.55,2.48,0.02,826.03,823.57
12.5262,833,822.26,819.73,2.5,0.02,822.23,819.75
12.5763,881,818.5,815.96,2.52,0.02,818.48,815.98
12.6264,807,814.8,812.23,2.54,0.02,814.77,812.25
12.6766,765,811.14,808.55,2.56,0.02,811.11,808.57
12.7267,832,807.53,804.92,2.58,0.02,807.5,804.94
12.7768,798,803.97,801.34,2.6,0.02,803.94,801.36
12.827,781,800.45,797.8,2.63,0.02,800.43,797.82
12.8771,810,796.99,794.32,2.65,0.02,796.97,794.34
12.9273,820,793.57,790.88,2.67,0.02,793.55,790.9
12.9774,774,790.2,787.49,2.69,0.02,790.18,787.51
13.0275,866,786.88,784.14,2.72,0.02,786.86,784.16
13.0777,758,783.61,780.85,2.74,0.02,783.59,780.87
13.1278,859,780.39,777.61,2.76,0.02,780.37,777.63
13.1779,778,777.22,774.41,2.79,0.02,777.2,774.43
13.2281,816,774.1,771.26,2.81,0.02,774.07,771.28
13.2782,792,771.03,768.17,2.84,0.02,771.01,768.19
13.3284,777,768,765.12,2.86,0.02,767.98,765.14
13.3785,801,765.03,762.12,2.89,0.02,765.01,762.14
13.4286,778,762.11,759.17,2.91,0.02,762.08,759.19
13.4788,883,759.23,756.27,2.94,0.03,759.21,756.3
13.5289,776,756.41,753.41,2.97,0.03,756.38,753.44
13.579,755,753.63,750.61,2.99,0.03,753.6,750.64
13.6292,766,750.9,747.86,3.02,0.03,750.88,747.89
13.6793,785,748.23,745.15,3.05,0.03,748.2,745.18
13.7294,771,745.6,742.49,3.08,0.03,745.57,742.52
13.7796,727,743.02,739.89,3.11,0.03,743,739.92
13.8297,785,740.49,737.33,3.13,0.03,740.46,737.36
