Angle,Observed,Calculated,Background,Quartz_nb,Dolomite_nb,Quartz (SiO2),Dolomite (CaMg(CO3)2)
10.7766,993,1004.41,1002.57,1.84,0,1004.41,1002.57
10.8277,1022,999.39,997.54,1.85,0,999.39,997.54
10.8789,991,994.37,992.5,1.87,0,994.37,992.5
10.9301,1007,989.34,987.47,1.88,0,989.35,987.47
10.9812,1009,984.32,982.43,1.89,0,984.32,982.43
11.0324,972,979.29,977.39,1.91,0,979.3,977.39
11.0835,953,974.27,972.35,1.92,0,974.27,972.35
11.1347,981,969.25,967.32,1.93,0,969.25,967.32
11.1859,917,964.23,962.28,1.95,0,964.23,962.28
11.237,977,959.22,957.26,1.96,0,959.22,957.26
11.2882,944,954.22,952.24,1.98,0,954.22,952.24
11.3394,931,949.22,947.23,1.99,0,949.22,947.23
11.3905,964,944.23,942.23,2.01,0,944.24,942.23
11.4417,889,939.26,937.23,2.02,0,939.25,937.23
11.4928,907,934.29,932.26,2.04,0,934.3,932.26
11.544,943,929.34,927.29,2.05,0,929.34,927.29
11.5952,884,924.4,922.34,2.07,0,924.41,922.34
11.6463,941,919.48,917.4,2.08,0,919.48,917.4
11.6975,1019,914.58,912.48,2.1,0,914.58,912.48
11.7486,914,909.7,907.58,2.11,0,909.69,907.58
11.7998,889,904.83,902.7,2.13,0,904.83,902.7
11.851,885,899.99,897.84,2.15,0,899.99,897.84
11.9021,837,895.17,893.01,2.16,0,895.17,893.01
11.9533,905,890.37,888.19,2.18,0,890.37,888.19
12.0044,907,885.6,883.4,2.2,0,885.6,883.4
12.0556,888,880.85,878.64,2.21,0,880.85,878.64
12.1068,906,876.13,873.9,2.23,0,876.13,873.9
12.1579,912,871.44,869.19,2.25,0,871.44,869.19
12.2091,841,866.77,864.5,2.27,0,866.77,864.5
12.2603,838,862.14,859.85,2.29,0,862.14,859.85
12.3114,851,857.53,855.23,2.3,0,857.53,855.23
12.3626,831,852.96,850.64,2.32,0,852.96,850.64
12.4137,845,848.42,846.08,2.34,0,848.42,846.08
12.4649,833,843.91,841.55,2.36,0,843.91,841.55
12.5161,845,839.44,837.06,2.38,0,839.44,837.06
12.5672,846,835,832.6,2.4,0,835,832.6
12.6184,857,830.6,828.18,2.42,0,830.6,828.18
12.6695,845,826.24,823.8,2.44,0,826.24,823.8
12.7207,825,821.91,819.45,2.46,0,821.91,819.45
12.7719,824,817.62,815.14,2.48,0,817.62,815.14
12.823,769,813.37,810.87,2.5,0,813.37,810.87
12.8742,849,809.16,806.63,2.53,0,809.16,806.63
12.9253,854,804.99,802.44,2.55,0,804.99,802.44
12.9765,807,800.86,798.29,2.57,0,800.86,798.29
13.0277,778,796.77,794.18,2.59,0,796.77,794.18
13.0788,783,792.73,790.11,2.62,0,792.73,790.11
13.13,758,788.72,786.09,2.64,0,788.73,786.09
13.1812,777,784.76,782.1,2.66,0,784.76,782.1
13.2323,813,780.85,778.16,2.69,0,780.85,778.16
13.2835,778,776.97,774.26,2.71,0,776.97,774.26
13.3346,770,773.15,770.41,2.73,0,773.14,770.41
13.3858,773,769.36,766.6,2.76,0,769.36,766.6
13.437,766,765.62,762.84,2.78,0,765.62,762.84
13.4881,783,761.93,759.12,2.81,0,761.93,759.12
13.5393,780,758.28,755.45,2.84,0,758.29,755.45
13.5904,776,754.68,751.82,2.86,0,754.68,751.82
13.6416,772,751.13,748.24,2.89,0,751.13,748.24
13.6928,771,747.62,744.7,2.92,0,747.62,744.7
13.7439,770,744.16,741.21,2.95,0,744.16,741.21
13.7951,690,740.75,737.77,2.97,0,740.74,737.77
13.8462,739,737.38,734.38,3,0,737.38,734.38
13.8974,757,734.06,731.03,3.03,0,734.06,731.03
13.9486,722,730.79,727.73,3.06,0,730.79,727.73
13.9997,695,727.57,724.47,3.09,0,727.56,724.47
14.0509,737,724.39,721.27,3.12,0,724.39,721.27
14.102,760,721.26,718.11,3.15,0,721.26,718.11
14.1532,699,718.18,715,3.19,0,718.19,715
14.2044,740,715.15,711.93,3.22,0,715.15,711.93
14.2555,679,712.17,708.92,3.25,0,712.17,708.92
14.3067,739,709.23,705.95,3.29,0,709.24,705.95
14.3579,680,706.34,703.02,3.32,0,706.34,703.02
14.409,712,703.5,700.15,3.35,0,703.5,700.15
14.4602,687,700.71,697.32,3.39,0,700.71,697.32
14.5113,677,697.97,694.54,3.43,0,697.97,694.54
14.5625,655,695.27,691.81,3.46,0,695.27,691.81
14.6137,732,692.63,689.13,3.5,0,692.63,689.13
14.6648,733,690.03,686.49,3.54,0,690.03,686.49
14.716,711,687.47,683.89,3.58,0,687.47,683.89
14.7671,685,684.97,681.35,3.62,0,684.97,681.35
14.8183,686,682.51,678.85,3.66,0,682.51,678.85
14.8695,726,680.1,676.4,3.7,0,680.1,676.4
14.9206,675,677.73,673.99,3.74,0,677.73,673.99
14.9718,695,675.42,671.63,3.78,0,675.41,671.63
15.0229,672,673.15,669.32,3.83,0,673.15,669.32
15.0741,651,670.92,667.05,3.87,0,670.92,667.05
15.1253,679,668.74,664.82,3.92,0,668.74,664.82
15.1764,699,666.61,662.64,3.96,0,666.6,662.64
15.2276,626,664.52,660.51,4.01,0,664.52,660.51
15.2788,672,662.48,658.42,4.06,0,662.48,658.42
15.3299,654,660.48,656.37,4.11,0,660.48,656.37
15.3811,704,658.53,654.37,4.16,0,658.53,654.37
15.4322,682,656.62,652.41,4.21,0,656.62,652.41
15.4834,640,654.76,650.49,4.27,0,654.76,650.49
15.5346,628,652.94,648.62,4.32,0,652.94,648.62
15.5857,666,651.16,646.79,4.37,0,651.16,646.79
15.6369,659,649.43,645,4.43,0,649.43,645
15.688,651,647.74,643.25,4.49,0,647.74,643.25
15.7392,642,646.09,641.54,4.55,0,646.09,641.54
15.7904,629,644.49,639.88,4.61,0,644.49,639.88
15.8415,658,642.93,638.25,4.67,0,642.92,638.25
15.8927,637,641.41,636.67,4.74,0,641.41,636.67
15.9438,621,639.93,635.12,4.8,0,639.92,635.12
15.995,671,638.49,633.62,4.87,0,638.49,633.62
16.0462,641,637.09,632.15,4.94,0,637.09,632.15
16.0973,662,635.73,630.72,5.01,0,635.73,630.72
16.1485,638,634.41,629.33,5.08,0,634.41,629.33
16.1997,651,633.13,627.98,5.15,0,633.13,627.98
16.2508,637,631.9,626.66,5.23,0,631.89,626.66
16.302,632,630.7,625.39,5.31,0.01,630.7,625.4
16.3531,598,629.54,624.14,5.39,0.01,629.53,624.15
