Angle,Observed,Calculated,Background,Calcite_nb,Dolomite_nb,Quartz_nb,Calcite,Dolomite,Quartz
60.357,764,692.85,297.26,1.5,0.22,393.87,298.76,297.48,691.13
60.4071,612,599.69,297.07,1.79,0.19,300.64,298.86,297.26,597.71
60.4573,589,537.3,296.87,2.18,0.16,238.08,299.05,297.03,534.95
60.5074,554,493.08,296.67,2.71,0.14,193.56,299.38,296.81,490.23
60.5575,448,459.78,296.48,3.42,0.13,159.75,299.9,296.61,456.23
60.6077,417,434.75,296.28,4.48,0.11,133.88,300.76,296.39,430.16
60.6578,405,416.52,296.09,6.16,0.1,114.17,302.25,296.19,410.26
60.708,431,404.06,295.89,8.9,0.1,99.17,304.79,295.99,395.06
60.7581,408,396.74,295.7,12.84,0.09,88.12,308.54,295.79,383.82
60.8082,364,392.42,295.5,15.99,0.09,80.84,311.49,295.59,376.34
60.8584,376,385.72,295.31,15.77,0.08,74.55,311.08,295.39,369.86
60.9085,382,376.32,295.11,14.53,0.08,66.59,309.64,295.19,361.7
60.9586,318,370.01,294.92,14.42,0.08,60.6,309.34,295,355.52
61.0088,354,363.97,294.73,14.24,0.08,54.93,308.97,294.81,349.66
61.0589,320,356.95,294.53,13.67,0.08,48.66,308.2,294.61,343.19
61.109,329,350.82,294.34,12.73,0.08,43.67,307.07,294.42,338.01
61.1592,384,344.97,294.15,10.95,0.09,39.79,305.1,294.24,333.94
61.2093,339,340.26,293.96,9.59,0.1,36.61,303.55,294.06,330.57
61.2595,322,336.82,293.77,9.01,0.11,33.93,302.78,293.88,327.7
61.3096,321,333.77,293.57,8.44,0.14,31.61,302.01,293.71,325.18
61.3597,319,331.4,293.38,8.24,0.18,29.6,301.62,293.56,322.98
61.4099,303,330.23,293.19,8.97,0.24,27.82,302.16,293.43,321.01
61.46,323,329.17,293,9.62,0.3,26.25,302.62,293.3,319.25
61.5101,352,326.71,292.81,8.76,0.3,24.85,301.57,293.11,317.66
61.5603,343,323.98,292.62,7.49,0.26,23.6,300.11,292.88,316.22
61.6104,325,321.89,292.43,6.73,0.24,22.48,299.16,292.67,314.91
61.6606,320,319.64,292.24,5.7,0.22,21.48,297.94,292.46,313.72
61.7107,387,317.08,292.06,4.27,0.17,20.57,296.33,292.23,312.63
61.7608,306,314.86,291.87,3.09,0.13,19.76,294.96,292,311.63
61.811,310,313.13,291.68,2.32,0.1,19.03,294,291.78,310.71
61.8611,337,311.77,291.49,1.81,0.09,18.37,293.3,291.58,309.86
61.9112,291,310.64,291.31,1.48,0.08,17.78,292.79,291.39,309.09
61.9614,328,309.68,291.12,1.24,0.07,17.25,292.36,291.19,308.37
62.0115,309,308.84,290.93,1.07,0.07,16.77,292,291,307.7
62.0617,298,308.1,290.75,0.94,0.07,16.35,291.69,290.82,307.1
62.1118,314,307.44,290.56,0.84,0.07,15.97,291.4,290.63,306.53
62.1619,309,306.85,290.38,0.77,0.07,15.64,291.15,290.45,306.02
62.2121,315,306.33,290.2,0.71,0.07,15.35,290.91,290.27,305.55
62.2622,304,305.85,290.01,0.66,0.07,15.1,290.67,290.08,305.11
62.3123,312,305.43,289.83,0.63,0.07,14.9,290.46,289.9,304.73
62.3625,300,305.05,289.65,0.6,0.07,14.73,290.25,289.72,304.38
62.4126,301,304.73,289.47,0.59,0.08,14.6,290.06,289.55,304.07
62.4627,308,304.45,289.28,0.58,0.08,14.51,289.86,289.36,303.79
62.5129,297,304.22,289.1,0.58,0.09,14.46,289.68,289.19,303.56
62.563,342,304.05,288.92,0.58,0.09,14.44,289.5,289.01,303.36
62.6132,287,303.92,288.74,0.6,0.1,14.47,289.34,288.84,303.21
62.6633,329,303.86,288.56,0.63,0.11,14.55,289.19,288.67,303.11
62.7134,315,303.87,288.39,0.68,0.13,14.67,289.07,288.52,303.06
62.7636,334,303.94,288.21,0.75,0.14,14.84,288.96,288.35,303.05
62.8137,265,304.1,288.03,0.84,0.17,15.07,288.87,288.2,303.1
62.8639,322,304.37,287.85,0.96,0.2,15.36,288.81,288.05,303.21
62.914,309,304.76,287.68,1.13,0.23,15.72,288.81,287.91,303.4
62.9641,295,305.33,287.5,1.37,0.29,16.16,288.87,287.79,303.66
63.0143,324,306.15,287.33,1.76,0.36,16.7,289.09,287.69,304.03
63.0644,278,307.36,287.15,2.41,0.45,17.35,289.56,287.6,304.5
63.1145,291,309.15,286.98,3.45,0.59,18.12,290.43,287.57,305.1
63.1647,308,311.37,286.81,4.69,0.82,19.06,291.5,287.63,305.87
63.2148,281,313.16,286.63,5.15,1.19,20.19,291.78,287.82,306.82
63.2649,313,314.36,286.46,4.61,1.73,21.56,291.07,288.19,308.02
63.3151,322,315.83,286.29,4.1,2.2,23.24,290.39,288.49,309.53
63.3652,308,317.39,286.12,3.79,2.16,25.31,289.91,288.28,311.43
