Angle,Observed,Calculated,Background,Calcite_nb,Quartz_nb,Calcite,Quartz
20.3437,580,543.89,455.83,1.5,86.55,457.33,542.38
20.3949,646,562.28,455.55,1.53,105.2,457.08,560.75
20.446,672,587.74,455.27,1.57,130.91,456.84,586.18
20.4972,677,624.36,455,1.6,167.76,456.6,622.76
20.5483,792,679.65,454.73,1.64,223.29,456.37,678.02
20.5995,887,768.64,454.46,1.67,312.51,456.13,766.97
20.6507,967,924.46,454.2,1.73,468.54,455.93,922.74
20.7018,1321,1227.64,453.93,1.85,771.85,455.78,1225.78
20.753,2125,1883.73,453.67,2.21,1427.85,455.88,1881.52
20.8041,3615,3343.19,453.42,3.14,2886.64,456.56,3340.06
20.8553,5562,5536.41,453.16,3.72,5079.52,456.88,5532.68
20.9065,5007,5203.9,452.91,3,4747.99,455.91,5200.9
20.9576,3006,3130.09,452.66,2.55,2674.88,455.21,3127.54
21.0088,1586,1721.06,452.42,2.38,1266.26,454.8,1718.68
21.06,1154,1140.8,452.17,2.32,686.32,454.49,1138.49
21.1111,781,879.64,451.93,2.31,425.4,454.24,877.33
21.1623,725,743.26,451.69,2.33,289.24,454.02,740.93
21.2134,662,663.62,451.45,2.38,209.8,453.83,661.25
21.2646,675,613.19,451.21,2.43,159.55,453.64,610.76
21.3158,587,579.29,450.97,2.5,125.82,453.47,576.79
21.3669,590,555.4,450.74,2.57,102.09,453.31,552.83
21.4181,592,537.95,450.5,2.66,84.79,453.16,535.29
21.4692,570,524.83,450.27,2.76,71.8,453.03,522.07
21.5204,619,514.78,450.04,2.86,61.87,452.9,511.91
21.5716,526,506.81,449.81,2.98,54.01,452.79,503.82
21.6227,531,500.44,449.58,3.11,47.74,452.69,497.32
21.6739,483,495.28,449.35,3.26,42.67,452.61,492.02
21.725,508,491.05,449.12,3.42,38.5,452.54,487.62
21.7762,488,487.55,448.9,3.6,35.05,452.5,483.95
21.8274,511,484.65,448.67,3.8,32.17,452.47,480.84
21.8785,473,482.22,448.45,4.03,29.74,452.48,478.19
21.9297,535,480.19,448.22,4.28,27.69,452.5,475.91
21.9809,460,478.5,448,4.57,25.93,452.57,473.93
22.032,513,477.1,447.77,4.9,24.43,452.67,472.2
22.0832,555,475.96,447.55,5.28,23.13,452.83,470.68
22.1343,532,475.06,447.32,5.72,22.02,453.04,469.34
22.1855,531,474.39,447.1,6.23,21.06,453.33,468.16
22.2367,518,473.94,446.87,6.83,20.23,453.7,467.1
22.2878,470,473.71,446.65,7.55,19.51,454.2,466.16
22.339,483,473.73,446.43,8.41,18.89,454.84,465.32
22.3901,451,474.03,446.2,9.46,18.36,455.66,464.56
22.4413,467,474.65,445.98,10.77,17.91,456.75,463.89
22.4925,541,475.69,445.75,12.41,17.52,458.16,463.27
22.5436,431,477.26,445.53,14.53,17.2,460.06,462.73
22.5948,466,479.55,445.3,17.32,16.93,462.62,462.23
22.6459,473,482.89,445.08,21.11,16.71,466.19,461.79
22.6971,463,487.81,444.85,26.42,16.54,471.27,461.39
22.7483,536,495.27,444.62,34.23,16.41,478.85,461.03
22.7994,465,507.09,444.4,46.37,16.33,490.77,460.73
22.8506,545,527.08,444.17,66.63,16.28,510.8,460.45
22.9018,626,563.86,443.94,103.65,16.27,547.59,460.21
22.9529,581,637.89,443.71,177.89,16.29,621.6,460
23.0041,854,795.19,443.48,335.37,16.34,778.85,459.82
23.0552,1290,1093.84,443.25,634.16,16.43,1077.41,459.68
23.1064,1401,1228.24,443.01,768.68,16.55,1211.69,459.56
23.1576,1070,1012.38,442.78,552.9,16.69,995.68,459.47
23.2087,690,745.76,442.55,286.34,16.87,728.89,459.42
23.2599,562,608.49,442.31,149.1,17.08,591.41,459.39
23.311,510,548.12,442.08,88.73,17.32,530.81,459.4
23.3622,479,518.15,441.84,58.73,17.58,500.57,459.42
23.4134,490,501.4,441.6,41.92,17.88,483.52,459.48
23.4645,476,491.18,441.36,31.61,18.21,472.97,459.57
23.5157,466,484.54,441.12,24.85,18.57,465.97,459.69
23.5668,483,480.02,440.88,20.19,18.96,461.07,459.84
23.618,484,476.86,440.63,16.85,19.38,457.48,460.01
23.6692,487,474.59,440.39,14.37,19.83,454.76,460.22
23.7203,466,472.96,440.14,12.49,20.32,452.63,460.46
23.7715,476,471.78,439.9,11.04,20.85,450.94,460.75
23.8227,467,471.08,439.65,9.89,21.55,449.54,461.2
23.8738,449,471.76,439.4,8.96,23.41,448.36,462.81
23.925,502,476.04,439.15,8.21,28.68,447.36,467.83
23.9761,494,491.87,438.89,7.6,45.38,446.49,484.27
24.0273,595,530.79,438.64,7.09,85.07,445.73,523.71
24.0785,500,531.18,438.38,6.67,86.13,445.05,524.51
24.1296,470,500.85,438.12,6.31,56.42,444.43,494.54
24.1808,445,486.77,437.87,6.02,42.89,443.89,480.76
24.2319,443,480.71,437.6,5.77,37.34,443.37,474.94
24.2831,452,477.82,437.34,5.56,34.92,442.9,472.26
24.3343,488,476.4,437.08,5.38,33.94,442.46,471.02
24.3854,428,475.79,436.81,5.23,33.75,442.04,470.56
24.4366,468,475.69,436.55,5.11,34.04,441.66,470.59
24.4877,437,475.96,436.28,5.01,34.67,441.29,470.95
24.5389,435,476.5,436.01,4.92,35.57,440.93,471.58
24.5901,488,477.27,435.74,4.86,36.68,440.6,472.42
24.6412,472,478.27,435.46,4.8,38,440.26,473.46
24.6924,429,479.47,435.19,4.76,39.52,439.95,474.71
24.7435,449,480.87,434.91,4.73,41.22,439.64,476.13
24.7947,428,482.48,434.63,4.72,43.13,439.35,477.76
24.8459,443,484.3,434.35,4.71,45.24,439.06,479.59
24.897,461,486.36,434.07,4.71,47.58,438.78,481.65
24.9482,491,488.67,433.79,4.72,50.16,438.51,483.95
24.9994,418,491.25,433.5,4.74,53.01,438.24,486.51
25.0505,438,494.14,433.22,4.77,56.16,437.99,489.38
25.1017,465,497.37,432.93,4.8,59.64,437.73,492.57
25.1528,439,500.98,432.64,4.84,63.5,437.48,496.14
25.204,427,505.03,432.35,4.89,67.8,437.24,500.15
25.2552,459,509.57,432.05,4.94,72.58,436.99,504.63
25.3063,454,514.68,431.76,5,77.92,436.76,509.68
25.3575,462,520.44,431.46,5.07,83.91,436.53,515.37
25.4086,455,526.92,431.16,5.14,90.61,436.3,521.77
25.4598,494,534.33,430.86,5.22,98.25,436.08,529.11
25.511,494,542.79,430.56,5.31,106.92,435.87,537.48
25.5621,495,552.5,430.26,5.4,116.85,435.66,547.11
25.6133,518,563.71,429.95,5.5,128.26,435.45,558.21
25.6644,576,576.73,429.64,5.61,141.48,435.25,571.12
25.7156,693,591.95,429.34,5.72,156.9,435.06,586.24
25.7668,724,609.9,429.03,5.84,175.03,434.87,604.06
25.8179,785,631.24,428.71,5.97,196.56,434.68,625.27
25.8691,723,656.88,428.4,6.1,222.38,434.5,650.78
25.9203,727,688.04,428.08,6.25,253.71,434.33,681.79
25.9714,808,726.41,427.77,6.4,292.25,434.17,720.02
26.0226,806,774.38,427.45,6.56,340.38,434.01,767.83
26.0737,735,835.43,427.13,6.73,401.58,433.86,828.71
26.1249,824,914.76,426.81,6.91,481.04,433.72,907.85
26.1761,925,1020.45,426.48,7.1,586.87,433.58,1013.35
26.2272,927,1165.62,426.16,7.3,732.16,433.46,1158.32
26.2784,1152,1370.55,425.83,7.51,937.22,433.34,1363.05
26.3295,1370,1679.26,425.5,7.88,1245.87,433.38,1671.37
26.3807,1798,2170.35,425.17,8.8,1736.38,433.97,2161.55
26.4319,2486,3014.78,424.84,11.21,2578.72,436.05,3003.56
26.483,3962,4600.31,424.51,18.33,4157.47,442.84,4581.98
26.5342,7567,7828.44,424.18,33.26,7371.01,457.44,7795.19
26.5853,15843,15092.15,423.84,32.92,14635.4,456.76,15059.24
26.6365,27567,27396.75,423.5,21.97,26951.28,445.47,27374.78
26.6877,28253,27647.04,423.16,16.59,27207.29,439.75,27630.45
26.7388,19151,19014.66,422.82,14.24,18577.6,437.06,19000.42
26.79,9083,9641.3,422.48,13.16,9205.66,435.64,9628.14
26.8412,4467,5198.83,422.14,12.66,4764.04,434.8,5186.18
26.8923,2536,3272.52,421.79,12.47,2838.25,434.26,3260.04
26.9435,1833,2308.36,421.45,12.49,1874.43,433.94,2295.88
26.9946,1347,1762.46,421.1,12.63,1328.72,433.73,1749.82
27.0458,1116,1424.43,420.75,12.87,990.8,433.62,1411.55
27.097,967,1200.82,420.4,13.19,767.23,433.59,1187.63
27.1481,835,1046.03,420.05,13.58,612.4,433.63,1032.45
27.1993,795,933.4,419.7,14.03,499.68,433.73,919.38
27.2504,733,849.38,419.34,14.54,415.49,433.88,834.83
27.3016,740,785.06,418.99,15.1,350.97,434.09,769.96
27.3528,654,734.78,418.63,15.73,300.42,434.36,719.05
27.4039,638,694.77,418.28,16.42,260.08,434.7,678.36
27.4551,665,662.46,417.92,17.17,227.37,435.09,645.29
27.5062,558,636.04,417.56,17.99,200.49,435.55,618.05
27.5574,629,614.22,417.19,18.89,178.13,436.08,595.32
27.6086,591,596.03,416.83,19.87,159.33,436.7,576.16
27.6597,571,580.78,416.47,20.95,143.36,437.42,559.83
27.7109,567,567.92,416.1,22.12,129.7,438.22,545.8
27.7621,610,557.05,415.74,23.41,117.91,439.15,533.65
27.8132,543,547.85,415.37,24.82,107.66,440.19,523.03
27.8644,560,540.09,415,26.37,98.71,441.37,513.71
27.9155,553,533.56,414.63,28.09,90.84,442.72,505.47
27.9667,574,528.13,414.26,29.99,83.88,444.25,498.14
28.0179,532,523.68,413.89,32.09,77.69,445.98,491.58
28.069,503,520.15,413.52,34.42,72.21,447.94,485.73
28.1202,558,517.45,413.15,37.04,67.26,450.19,480.41
28.1713,520,515.58,412.77,39.99,62.82,452.76,475.59
28.2225,552,514.52,412.4,43.32,58.8,455.72,471.2
28.2737,545,514.31,412.02,47.12,55.17,459.14,467.19
28.3248,596,515.06,411.65,51.55,51.86,463.2,463.51
28.376,567,516.79,411.27,56.66,48.85,467.93,460.12
28.4271,634,519.2,410.89,62.2,46.1,473.09,456.99
28.4783,596,522.71,410.51,68.61,43.58,479.12,454.09
28.5295,595,527.63,410.13,76.22,41.27,486.35,451.4
28.5806,619,534.15,409.75,85.26,39.14,495.01,448.89
28.6318,575,542.61,409.37,96.06,37.18,505.43,446.55
28.6829,604,553.43,408.99,109.08,35.37,518.07,444.36
28.7341,630,567.28,408.61,124.99,33.69,533.6,442.3
28.7853,631,585.04,408.22,144.69,32.13,552.91,440.35
28.8364,634,608.01,407.84,169.5,30.68,577.34,438.52
28.8876,689,638.12,407.45,201.33,29.33,608.78,436.78
28.9388,712,678.29,407.07,243.15,28.08,650.22,435.15
28.9899,721,732.67,406.68,299.08,26.91,705.76,433.59
29.0411,799,809.75,406.29,377.65,25.81,783.94,432.1
29.0922,902,922.63,405.91,491.93,24.79,897.84,430.7
29.1434,1012,1096.51,405.52,667.16,23.83,1072.68,429.35
29.1946,1137,1381.99,405.13,953.93,22.93,1359.06,428.06
29.2457,1503,1885.7,404.74,1458.87,22.08,1863.61,426.82
29.2969,2173,2834.99,404.35,2409.35,21.29,2813.7,425.64
29.348,3767,4802.23,403.96,4377.72,20.54,4781.68,424.5
29.3992,8451,8889.2,403.57,8465.79,19.84,8869.36,423.41
29.4504,12730,11848.45,403.18,11426.08,19.17,11829.26,422.35
29.5015,10264,9869.34,402.79,9448,18.55,9850.79,421.34
29.5527,5948,6321.07,402.4,5900.71,17.96,6303.11,420.36
29.6038,3038,3439.75,402.01,3020.33,17.4,3422.34,419.41
29.655,1806,2111.58,401.62,1693.09,16.88,2094.71,418.5
29.7062,1296,1483.92,401.23,1066.31,16.38,1467.54,417.61
29.7573,1119,1147.46,400.83,730.72,15.91,1131.55,416.74
29.8085,943,947.53,400.44,531.63,15.46,932.07,415.9
29.8597,791,819.19,400.05,404.11,15.03,804.16,415.08
29.9108,709,731.89,399.65,317.61,14.63,717.26,414.28
29.962,658,670.05,399.26,256.55,14.24,655.81,413.5
30.0131,629,624.14,398.87,211.4,13.87,610.27,412.74
30.0643,578,589.26,398.47,177.27,13.52,575.74,411.99
30.1155,573,562.1,398.08,150.85,13.18,548.93,411.26
30.1666,574,540.5,397.69,129.97,12.84,527.66,410.53
30.2178,523,523.01,397.29,113.2,12.52,510.49,409.81
30.2689,545,508.63,396.9,99.53,12.2,496.43,409.1
30.3201,510,496.65,396.5,88.25,11.89,484.75,408.39
30.3713,521,486.54,396.11,78.84,11.59,474.95,407.7
30.4224,495,477.93,395.72,70.91,11.3,466.63,407.02
30.4736,519,470.53,395.32,64.18,11.03,459.5,406.35
30.5247,472,464.12,394.93,58.43,10.76,453.36,405.69
30.5759,489,458.53,394.53,53.48,10.51,448.01,405.04
30.6271,488,453.62,394.14,49.21,10.27,443.35,404.41
30.6782,506,449.31,393.74,45.52,10.04,439.26,403.78
30.7294,447,445.5,393.35,42.33,9.82,435.68,403.17
30.7806,477,442.14,392.96,39.57,9.61,432.53,402.57
30.8317,461,439.19,392.56,37.22,9.4,429.78,401.96
30.8829,511,436.62,392.17,35.24,9.21,427.41,401.38
30.934,437,434.43,391.78,33.63,9.02,425.41,400.8
30.9852,483,432.64,391.38,32.42,8.84,423.8,400.22
31.0364,432,431.3,390.99,31.64,8.67,422.63,399.66
31.0875,479,430.53,390.6,31.43,8.5,422.03,399.1
31.1387,497,430.56,390.21,32.01,8.34,422.22,398.55
31.1898,470,431.85,389.82,33.84,8.19,423.66,398.01
31.241,467,435.32,389.42,37.86,8.04,427.28,397.46
31.2922,499,442.93,389.03,45.99,7.9,435.02,396.93
31.3433,460,458.76,388.64,62.35,7.77,450.99,396.41
31.3945,510,494.27,388.25,98.38,7.64,486.63,395.89
31.4456,626,563.27,387.86,167.9,7.51,555.76,395.37
31.4968,624,587.76,387.47,192.9,7.39,580.37,394.86
31.548,610,551.06,387.08,156.7,7.28,543.78,394.36
31.5991,551,494.93,386.69,101.07,7.17,487.76,393.86
31.6503,513,452.16,386.3,58.79,7.06,445.09,393.36
31.7015,461,431.96,385.91,39.08,6.96,424.99,392.87
31.7526,430,421.72,385.53,29.34,6.86,414.87,392.39
31.8038,402,415.72,385.14,23.82,6.77,408.96,391.91
31.8549,464,411.76,384.75,20.33,6.68,405.08,391.43
