Angle,Observed,Calculated,Background,Dolomite_nb,Halite_nb,Quartz_nb,Dolomite,Halite,Quartz
7.0612,1411,1458.86,1457.79,0.02,0,1.05,1457.81,1457.79,1458.84
7.1113,1535,1449.9,1448.82,0.02,0,1.06,1448.84,1448.82,1449.88
7.1615,1498,1441.11,1440.03,0.02,0,1.06,1440.05,1440.03,1441.09
7.2116,1424,1432.49,1431.4,0.02,0,1.07,1431.42,1431.4,1432.47
7.2618,1505,1424.02,1422.93,0.02,0,1.07,1422.95,1422.93,1424
7.3119,1448,1415.72,1414.62,0.02,0,1.08,1414.64,1414.62,1415.7
7.362,1326,1407.56,1406.45,0.02,0,1.09,1406.47,1406.45,1407.54
7.4122,1384,1399.55,1398.43,0.02,0,1.09,1398.45,1398.43,1399.52
7.4623,1426,1391.67,1390.55,0.02,0,1.1,1390.57,1390.55,1391.65
7.5124,1388,1383.93,1382.8,0.02,0,1.11,1382.82,1382.8,1383.91
7.5626,1479,1376.31,1375.18,0.02,0,1.11,1375.2,1375.18,1376.29
7.6127,1309,1368.81,1367.67,0.02,0,1.12,1367.69,1367.67,1368.79
7.6629,1385,1361.43,1360.29,0.02,0,1.13,1360.31,1360.29,1361.42
7.713,1350,1354.16,1353,0.02,0,1.13,1353.02,1353,1354.13
7.7631,1336,1346.99,1345.83,0.02,0,1.14,1345.85,1345.83,1346.97
7.8133,1391,1339.92,1338.75,0.02,0,1.15,1338.77,1338.75,1339.9
7.8634,1316,1332.94,1331.76,0.02,0,1.15,1331.78,1331.76,1332.91
7.9135,1275,1326.05,1324.87,0.02,0,1.16,1324.89,1324.87,1326.03
7.9637,1351,1319.24,1318.05,0.02,0,1.17,1318.07,1318.05,1319.22
8.0138,1338,1312.51,1311.31,0.02,0,1.17,1311.33,1311.31,1312.48
8.064,1245,1305.85,1304.65,0.02,0,1.18,1304.67,1304.65,1305.83
8.1141,1263,1299.27,1298.06,0.02,0,1.19,1298.08,1298.06,1299.25
8.1642,1227,1292.74,1291.53,0.02,0,1.19,1291.55,1291.53,1292.72
8.2144,1295,1286.28,1285.06,0.02,0,1.2,1285.08,1285.06,1286.26
8.2645,1230,1279.88,1278.65,0.02,0,1.21,1278.67,1278.65,1279.86
